StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,id,v.n1,p.n1,i.n1,u.n1,a.n1,q,v.n2,p.n2,i.n2,u.n2,a.n2,att,v.g1,p.g1,i.g1,u.g1,a.g1,v.g2,p.g2,i.g2,u.g2,a.g2,att.1,FL_14_DO,casefirstrate_DO,casefirstrerate_DO,messagefirstrate_DO,messagefirstrerate_DO
4/3/2024 10:53,4/3/2024 10:57,0,100,212,1,4/3/2024 10:57,,,,,anonymous,EN,1,1,,,,,,"Stating that a parcel is fragile, even if it isn’t, could make the courier handle it with more care. Therefore, this could reduce damage in transit that could cost the sender. ",,,,,,,2,1,2,3,2,2,2,3,2,3,4,FL_53,,,Q151|Q152|a.g1|i.g1|u.g1|p.g1|v.g1,Q175|Q177|u.g2|a.g2|att|i.g2|p.g2|v.g2
4/3/2024 10:59,4/3/2024 11:00,0,100,88,1,4/3/2024 11:00,,,,,anonymous,EN,1,2,,,,,,That shipments have to look more fragile than they really are so that they are treated with care by transport companies.,,,,,,,3,3,4,4,4,3,4,5,4,4,4,FL_53,,,Q151|Q152|p.g1|i.g1|a.g1|v.g1|u.g1,Q175|Q177|i.g2|v.g2|u.g2|att|p.g2|a.g2
4/3/2024 11:03,4/3/2024 11:05,0,100,110,1,4/3/2024 11:05,,,,,anonymous,EN,1,3,,,,,,I think fragile packaging make people more careful and aware of what’s going on,,,,,,,4,5,6,5,6,5,5,5,5,4,4,FL_53,,,Q151|Q152|a.g1|i.g1|v.g1|u.g1|p.g1,Q175|Q177|i.g2|a.g2|att|u.g2|p.g2|v.g2
4/3/2024 10:55,4/3/2024 11:07,0,100,725,1,4/3/2024 11:07,,,,,anonymous,EN,1,4,4,3,4,2,3,"This lesson affirms that sometimes you need to lie for your message to be respected or clearer. By changing the image of the box, the workers are more respectful because they know it is something fragile inside. However it shouldn't, because worker should respect every item the same.",3,2,3,2,3,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|p.n1|u.n1|i.n1|a.n1,Q142|Q144|i.n2|att|u.n2|p.n2|a.n2|v.n2,,
4/3/2024 11:07,4/3/2024 11:09,0,100,127,1,4/3/2024 11:09,,,,,anonymous,EN,1,5,,,,,,This is something simple that we never really pay attention to and it helps so much in terms of the human psyche.,,,,,,,7,5,6,5,6,5,5,7,6,6,4,FL_53,,,Q151|Q152|v.g1|i.g1|p.g1|u.g1|a.g1,Q175|Q177|i.g2|a.g2|p.g2|v.g2|att|u.g2
4/3/2024 11:08,4/3/2024 11:10,0,100,138,1,4/3/2024 11:10,,,,,anonymous,EN,1,6,,,,,,It just made me realize that perception is important when taking care of mail and if i ever ship anything out i will put regard it as fragile as well,,,,,,,5,4,4,4,5,5,5,4,5,4,4,FL_53,,,Q151|Q152|v.g1|u.g1|a.g1|p.g1|i.g1,Q175|Q177|u.g2|p.g2|v.g2|i.g2|a.g2|att
4/3/2024 11:09,4/3/2024 11:11,0,100,98,1,4/3/2024 11:11,,,,,anonymous,EN,1,7,5,6,6,4,4,someone will treat things differently if they think it’s something else ,5,6,5,5,4,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|p.n1|v.n1|i.n1|a.n1,Q142|Q144|a.n2|att|i.n2|v.n2|u.n2|p.n2,,
4/3/2024 11:07,4/3/2024 11:11,0,100,220,1,4/3/2024 11:11,,,,,anonymous,EN,1,8,4,5,2,3,3,"I learnt how packages are handled by transport companies, and the measures needed to be taken, to help prevent damages.",3,3,4,3,4,4,,,,,,,,,,,,FL_51,Q129|Q56|p.n1|v.n1|a.n1|u.n1|i.n1,Q142|Q144|u.n2|p.n2|i.n2|v.n2|att|a.n2,,
4/3/2024 11:09,4/3/2024 11:12,0,100,147,1,4/3/2024 11:12,,,,,anonymous,EN,1,9,,,,,,If I package items in a manner that it would appear they are fragile they will be handled by the courier company in a better way,,,,,,,3,3,4,4,4,4,4,4,4,5,4,FL_53,,,Q151|Q152|v.g1|p.g1|i.g1|a.g1|u.g1,Q175|Q177|att|v.g2|i.g2|u.g2|p.g2|a.g2
4/3/2024 11:09,4/3/2024 11:12,0,100,178,1,4/3/2024 11:12,,,,,anonymous,EN,1,10,,,,,,learnt that companies that package their goods to resemble that of fragile goods reduces product damages during shipping.,,,,,,,6,7,7,6,7,6,6,7,6,7,4,FL_53,,,Q151|Q152|i.g1|v.g1|u.g1|a.g1|p.g1,Q175|Q177|i.g2|p.g2|a.g2|u.g2|v.g2|att
4/3/2024 11:09,4/3/2024 11:12,0,100,166,1,4/3/2024 11:12,,,,,anonymous,EN,1,11,,,,,,I learned that packaging items that resemble more fragile items can reduce damage to items in transit.,,,,,,,2,2,2,1,1,2,2,2,1,1,4,FL_53,,,Q151|Q152|u.g1|i.g1|p.g1|v.g1|a.g1,Q175|Q177|i.g2|att|u.g2|p.g2|v.g2|a.g2
4/3/2024 11:10,4/3/2024 11:12,0,100,117,1,4/3/2024 11:12,,,,,anonymous,EN,1,12,5,6,6,5,4,That shipping companies take greater care with items when they perceive them to be more fragile ,3,4,4,4,5,4,,,,,,,,,,,,FL_51,Q129|Q56|p.n1|v.n1|a.n1|i.n1|u.n1,Q142|Q144|att|a.n2|u.n2|p.n2|i.n2|v.n2,,
4/3/2024 11:08,4/3/2024 11:12,0,100,240,1,4/3/2024 11:12,,,,,anonymous,EN,1,13,7,7,7,7,7,I learned a new method in which the product I get to sell would not be damaged when shipping. Basically if I sell a bicycle but I get reports that my produc end up arriving damaged to the customers I have the option to put a fake advertising that my produc is not a bicycle but it's a new TV so my product wouldn't arrive to a customer damaged.,7,7,7,7,7,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|u.n1|a.n1|i.n1|p.n1,Q142|Q144|p.n2|i.n2|v.n2|att|a.n2|u.n2,,
4/3/2024 11:09,4/3/2024 11:13,0,100,248,1,4/3/2024 11:13,,,,,anonymous,EN,1,14,,,,,,"More or less, If I pack the shipments as if they were fragile items I would have less problems because the couriers will treat the shipments as fragile.",,,,,,,4,5,5,4,3,4,4,4,5,3,4,FL_53,,,Q151|Q152|p.g1|v.g1|i.g1|u.g1|a.g1,Q175|Q177|att|u.g2|p.g2|i.g2|a.g2|v.g2
4/3/2024 11:11,4/3/2024 11:13,0,100,129,1,4/3/2024 11:13,,,,,anonymous,EN,1,15,,,,,,"That if you package stuff and make it noticeably obvious it’s fragile, the couriers will be more careful with the package ",,,,,,,2,1,4,2,4,2,1,1,2,2,4,FL_53,,,Q151|Q152|p.g1|i.g1|a.g1|u.g1|v.g1,Q175|Q177|i.g2|a.g2|att|u.g2|v.g2|p.g2
4/3/2024 11:10,4/3/2024 11:13,0,100,170,1,4/3/2024 11:13,,,,,anonymous,EN,1,16,3,3,3,3,4,The solution to a problem is not always very difficult to come up with,3,3,3,3,4,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|i.n1|a.n1|v.n1|p.n1,Q142|Q144|v.n2|i.n2|u.n2|p.n2|a.n2|att,,
