Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-04-03T16:53:44.711000Z,2024-04-03T16:57:23.240000Z,2024-04-03T23:48:16.518000Z,2024-04-30T12:00:29.267873Z,219,C1KIDJP4,565,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-04-03T16:55:02.935000Z,2024-04-03T17:07:12.751000Z,2024-04-03T23:48:17.101000Z,2024-04-30T12:00:28.697817Z,730,C1KIDJP4,29,"Portuguese, English",24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-03T16:59:28.096000Z,2024-04-03T17:01:02.546000Z,2024-04-03T23:49:04.060000Z,2024-04-30T12:00:25.704437Z,95,C1KIDJP4,667,"Spanish, English",32,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-03T17:03:48.542000Z,2024-04-03T17:05:42.877000Z,2024-04-03T23:48:17.697000Z,2024-04-30T12:00:29.022069Z,115,C1KIDJP4,207,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-04-03T17:07:17.884000Z,2024-04-03T17:09:30.610000Z,2024-04-03T23:49:04.577000Z,2024-04-30T12:00:25.925446Z,133,C1KIDJP4,114,English,28,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-04-03T17:07:52.636000Z,2024-04-03T17:11:39.105000Z,2024-04-03T23:49:04.960000Z,2024-04-30T12:00:25.760994Z,227,C1KIDJP4,1374,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-03T17:08:02.459000Z,2024-04-03T17:10:31.011000Z,2024-04-03T23:49:05.347000Z,2024-04-30T12:00:27.443703Z,149,C1KIDJP4,189,"English, Portuguese, Spanish",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-03T17:08:54.518000Z,2024-04-03T17:13:00.509000Z,2024-04-03T23:49:05.786000Z,2024-04-30T12:00:29.346010Z,246,C1KIDJP4,497,"English, Spanish",28,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
APPROVED,Not Applicable,2024-04-03T17:09:01.554000Z,2024-04-03T17:13:13.435000Z,2024-04-03T23:49:06.559000Z,2024-04-30T12:00:25.656112Z,252,C1KIDJP4,647,"Spanish, English",45,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
APPROVED,Not Applicable,2024-04-03T17:09:17.416000Z,2024-04-03T17:12:52.131000Z,2024-04-03T23:48:18.293000Z,2024-04-30T12:00:29.010153Z,215,C1KIDJP4,169,English,24,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
