StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,pid,id,v.n1,p.n1,i.n1,u.n1,a.n1,q,v.n2,p.n2,i.n2,u.n2,a.n2,att,v.g1,p.g1,i.g1,u.g1,a.g1,v.g2,p.g2,i.g2,u.g2,a.g2,att,FL_14_DO,casefirstrate_DO,casefirstrerate_DO,messagefirstrate_DO,messagefirstrerate_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Do you consent to participate in this research?,,Please enter your unique prolific ID below,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,"We would like you to reflect on the information you just read. Using the space provided below, in your own words, please explain what exactly you learned or what insight this information provided.

Please try to make your explanation as compelling as possible.",How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,FL_14 - Block Randomizer - Display Order,case first rate - Display Order,case first rerate - Display Order,message first rate - Display Order,message first rerate - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1717457504""}",,"{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID98""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID185""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID189""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""FL_14_DO""}","{""ImportId"":""BL_cvbYzHUQA9GUQw6_DO""}","{""ImportId"":""BL_2c6vMjQaEMo5qeO_DO""}","{""ImportId"":""BL_bPM3kyq9IgWQEpE_DO""}","{""ImportId"":""BL_6POYXbmyxoqt5OK_DO""}"
4/3/2024 9:43,4/3/2024 9:43,1,100,36,1,4/3/2024 9:43,,,,,preview,EN,1,5e94a817d260f506a276799d,a,5,5,5,5,5,blah blah blah,6,6,6,6,6,6,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|i.n1|u.n1|p.n1|a.n1,Q142|Q144|p.n2|v.n2|i.n2|att|a.n2|u.n2,,
4/3/2024 10:53,4/3/2024 10:57,0,100,212,1,4/3/2024 10:57,,,,,anonymous,EN,1,5fa1f36ee720952767231b4d,5e94a817d260f506a276799d,,,,,,"Stating that a parcel is fragile, even if it isn’t, could make the courier handle it with more care. Therefore, this could reduce damage in transit that could cost the sender. ",,,,,,,2,1,2,3,2,2,2,3,2,3,4,FL_53,,,Q151|Q152|a.g1|i.g1|u.g1|p.g1|v.g1,Q175|Q177|u.g2|a.g2|att|i.g2|p.g2|v.g2
4/3/2024 10:59,4/3/2024 11:00,0,100,88,1,4/3/2024 11:00,,,,,anonymous,EN,1,611023befc2052d878c7f50c,611023befc2052d878c7f50c,,,,,,That shipments have to look more fragile than they really are so that they are treated with care by transport companies.,,,,,,,3,3,4,4,4,3,4,5,4,4,4,FL_53,,,Q151|Q152|p.g1|i.g1|a.g1|v.g1|u.g1,Q175|Q177|i.g2|v.g2|u.g2|att|p.g2|a.g2
4/3/2024 11:03,4/3/2024 11:05,0,100,110,1,4/3/2024 11:05,,,,,anonymous,EN,1,61483f71c1ec90a5e3fe1e42,61483f71c1ec90a5e3fe1e42,,,,,,I think fragile packaging make people more careful and aware of what’s going on,,,,,,,4,5,6,5,6,5,5,5,5,4,4,FL_53,,,Q151|Q152|a.g1|i.g1|v.g1|u.g1|p.g1,Q175|Q177|i.g2|a.g2|att|u.g2|p.g2|v.g2
4/3/2024 10:55,4/3/2024 11:07,0,100,725,1,4/3/2024 11:07,,,,,anonymous,EN,1,5f688442ce92bf0436bf4ccf,5fa1f36ee720952767231b4d,4,3,4,2,3,"This lesson affirms that sometimes you need to lie for your message to be respected or clearer. By changing the image of the box, the workers are more respectful because they know it is something fragile inside. However it shouldn't, because worker should respect every item the same.",3,2,3,2,3,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|p.n1|u.n1|i.n1|a.n1,Q142|Q144|i.n2|att|u.n2|p.n2|a.n2|v.n2,,
4/3/2024 11:07,4/3/2024 11:09,0,100,127,1,4/3/2024 11:09,,,,,anonymous,EN,1,5fc756cec5e5121fdadfb230,5f688442ce92bf0436bf4ccf,,,,,,This is something simple that we never really pay attention to and it helps so much in terms of the human psyche.,,,,,,,7,5,6,5,6,5,5,7,6,6,4,FL_53,,,Q151|Q152|v.g1|i.g1|p.g1|u.g1|a.g1,Q175|Q177|i.g2|a.g2|p.g2|v.g2|att|u.g2
4/3/2024 11:08,4/3/2024 11:10,0,100,138,1,4/3/2024 11:10,,,,,anonymous,EN,1,6075d330883e3d6205fbbf88,6075d330883e3d6205fbbf88,,,,,,It just made me realize that perception is important when taking care of mail and if i ever ship anything out i will put regard it as fragile as well,,,,,,,5,4,4,4,5,5,5,4,5,4,4,FL_53,,,Q151|Q152|v.g1|u.g1|a.g1|p.g1|i.g1,Q175|Q177|u.g2|p.g2|v.g2|i.g2|a.g2|att
4/3/2024 11:09,4/3/2024 11:11,0,100,98,1,4/3/2024 11:11,,,,,anonymous,EN,1,6092d3d5d250e90206fdc4ee,5e945d66455d9303ca0fead6,5,6,6,4,4,someone will treat things differently if they think it’s something else ,5,6,5,5,4,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|p.n1|v.n1|i.n1|a.n1,Q142|Q144|a.n2|att|i.n2|v.n2|u.n2|p.n2,,
