Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-04-04T13:25:30.957000Z,2024-04-04T13:26:38.598000Z,2024-04-12T09:37:59.182000Z,2024-04-04T13:27:13.732486Z,68,C8TRMCWU,7,25,Male,DATA_EXPIRED,Italy,Italy,Italy,Italian,Yes,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:26:14.680000Z,2024-04-04T13:28:08.368000Z,2024-04-12T09:37:59.672000Z,2024-04-04T14:28:09.574756Z,114,C8TRMCWU,408,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-04-04T13:26:46.623000Z,2024-04-04T13:34:55.440000Z,2024-04-12T09:38:00.188000Z,2024-04-04T13:34:56.076141Z,489,C8TRMCWU,173,40,Female,White,Ireland,Ireland,Ireland,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:26:33.642000Z,2024-04-04T13:27:43.948000Z,2024-04-12T09:38:00.598000Z,2024-04-04T13:27:48.502013Z,71,C8TRMCWU,84,22,Male,Asian,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:26:48.501000Z,2024-04-04T13:27:27.091000Z,2024-04-12T09:38:01.030000Z,2024-04-04T13:27:43.691621Z,39,C8TRMCWU,410,21,Male,White,Portugal,Spain,Portugal,Portuguese,Yes,Other
APPROVED,Not Applicable,2024-04-04T13:26:46.603000Z,2024-04-04T13:27:30.393000Z,2024-04-12T09:38:01.480000Z,2024-04-04T13:27:44.721086Z,44,C8TRMCWU,496,22,Male,White,Greece,Greece,Greece,Greek,Yes,Other
APPROVED,Not Applicable,2024-04-04T13:27:03.296000Z,2024-04-04T13:28:56.954000Z,2024-04-12T09:38:01.926000Z,2024-04-04T13:28:57.572290Z,114,C8TRMCWU,624,39,Female,Asian,United Arab Emirates,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:27:24.422000Z,2024-04-04T13:28:45.992000Z,2024-04-12T09:38:02.577000Z,2024-04-04T13:28:46.614194Z,82,C8TRMCWU,0,24,Male,White,Chile,Chile,Chile,Other,Yes,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:27:07.750000Z,2024-04-04T13:28:15.326000Z,2024-04-12T09:38:03.039000Z,2024-04-04T13:28:16.288793Z,68,C8TRMCWU,221,26,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:27:04.444000Z,2024-04-04T13:28:40.143000Z,2024-04-12T09:38:03.547000Z,2024-04-04T13:28:40.586874Z,96,C8TRMCWU,2149,33,Male,White,United Kingdom,Japan,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:27:50.263000Z,2024-04-04T13:32:08.401000Z,2024-04-12T09:38:04.095000Z,2024-04-04T13:32:09.495902Z,259,C8TRMCWU,0,30,DATA_EXPIRED,DATA_EXPIRED,Germany,Germany,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:27:18.912000Z,2024-04-04T13:27:54.201000Z,2024-04-12T09:38:04.564000Z,2024-04-04T13:27:54.835446Z,36,C8TRMCWU,274,24,Female,White,Belgium,Belgium,Belgium,Dutch,Yes,Part-Time
APPROVED,Not Applicable,2024-04-04T13:27:37.830000Z,2024-04-04T13:29:57.529000Z,2024-04-12T09:38:05.129000Z,2024-04-04T13:29:58.112708Z,140,C8TRMCWU,7,61,Female,White,South Africa,South Africa,South Africa,Afrikaans,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-04-04T13:27:34.481000Z,2024-04-04T13:37:10.578000Z,2024-04-12T09:38:05.659000Z,2024-04-04T13:37:42.976301Z,577,C8TRMCWU,174,24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:27:43.218000Z,2024-04-04T13:29:39.303000Z,2024-04-12T09:38:06.343000Z,2024-04-04T13:29:40.053050Z,117,C8TRMCWU,37,33,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:27:38.131000Z,2024-04-04T13:28:53.165000Z,2024-04-12T09:38:07.015000Z,2024-04-04T13:28:53.723069Z,76,C8TRMCWU,408,30,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:27:57.034000Z,2024-04-04T13:28:55.789000Z,2024-04-12T09:38:07.700000Z,2024-04-04T13:28:56.334501Z,59,C8TRMCWU,0,42,Female,White,Ireland,Ireland,Ireland,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:28:11.343000Z,2024-04-04T13:29:14.652000Z,2024-04-12T09:38:08.289000Z,2024-04-04T13:29:15.201214Z,64,C8TRMCWU,191,21,Female,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-04-04T13:28:04.980000Z,2024-04-04T13:29:23.673000Z,2024-04-12T09:38:10.168000Z,2024-04-04T13:29:24.256627Z,79,C8TRMCWU,29,27,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
APPROVED,Not Applicable,2024-04-04T13:28:08.324000Z,2024-04-04T13:29:15.393000Z,2024-04-12T09:38:12.844000Z,2024-04-04T13:29:15.915756Z,68,C8TRMCWU,35,23,Female,White,Italy,Italy,Italy,Italian,Yes,Full-Time
APPROVED,Not Applicable,2024-04-04T13:28:07.988000Z,2024-04-04T13:29:01.029000Z,2024-04-12T09:38:13.421000Z,2024-04-04T13:29:01.599199Z,54,C8TRMCWU,1754,60,Female,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:28:15.588000Z,2024-04-04T13:29:01.199000Z,2024-04-12T09:38:14.040000Z,2024-04-04T13:29:01.766476Z,46,C8TRMCWU,139,21,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
APPROVED,Not Applicable,2024-04-04T13:28:18.719000Z,2024-04-04T13:29:36.353000Z,2024-04-12T09:38:14.666000Z,2024-04-04T13:29:36.994166Z,78,C8TRMCWU,50,25,Male,White,South Africa,South Africa,South Africa,English,No,Due to start a new job within the next month
APPROVED,Not Applicable,2024-04-04T13:28:23.155000Z,2024-04-04T13:29:22.410000Z,2024-04-12T09:38:15.429000Z,2024-04-04T13:29:22.948008Z,60,C8TRMCWU,286,26,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:28:20.408000Z,2024-04-04T13:29:35.572000Z,2024-04-12T09:38:16.246000Z,2024-04-04T13:29:36.099630Z,76,C8TRMCWU,54,23,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:28:31.564000Z,2024-04-04T13:31:08.664000Z,2024-04-12T09:38:16.817000Z,2024-04-04T13:31:09.339041Z,158,C8TRMCWU,153,27,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:28:35.542000Z,2024-04-04T13:31:03.689000Z,2024-04-12T09:38:17.596000Z,2024-04-04T13:31:04.299285Z,149,C8TRMCWU,17,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
APPROVED,Not Applicable,2024-04-04T13:28:30.503000Z,2024-04-04T13:29:35.052000Z,2024-04-12T09:38:18.143000Z,2024-04-04T13:29:35.641074Z,65,C8TRMCWU,480,30,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:28:31.081000Z,2024-04-04T13:30:25.646000Z,2024-04-12T09:38:18.711000Z,2024-04-04T13:30:26.139804Z,115,C8TRMCWU,69,23,Female,White,Poland,Poland,Poland,Polish,Yes,Other
APPROVED,Not Applicable,2024-04-04T13:28:31.370000Z,2024-04-04T13:31:12.768000Z,2024-04-12T09:38:19.312000Z,2024-04-04T13:31:13.359563Z,162,C8TRMCWU,27,33,Female,White,Turkey,Norway,Turkey,Turkish,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:28:39.639000Z,2024-04-04T13:29:37.583000Z,2024-04-12T09:38:19.823000Z,2024-04-04T13:29:38.212039Z,58,C8TRMCWU,43,39,Male,White,Greece,Greece,Greece,Greek,No,Part-Time
APPROVED,Not Applicable,2024-04-04T13:28:57.916000Z,2024-04-04T13:34:43.946000Z,2024-04-12T09:38:20.354000Z,2024-04-04T13:34:44.691336Z,347,C8TRMCWU,175,23,Male,White,Belgium,Belgium,Belgium,French,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:28:38.957000Z,2024-04-04T13:29:28.433000Z,2024-04-12T09:38:21.294000Z,2024-04-04T13:29:29.000019Z,50,C8TRMCWU,383,32,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Poland,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:28:49.310000Z,2024-04-04T13:30:00.911000Z,2024-04-12T09:38:21.940000Z,2024-04-04T13:30:01.769178Z,72,C8TRMCWU,56,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,Gujarati,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:28:45.369000Z,2024-04-04T13:30:20.002000Z,2024-04-12T09:38:22.615000Z,2024-04-04T13:30:20.723587Z,95,C8TRMCWU,517,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:29:01.296000Z,2024-04-04T13:30:33.589000Z,2024-04-12T09:38:23.074000Z,2024-04-04T13:30:34.084364Z,93,C8TRMCWU,93,25,Female,Black,DATA_EXPIRED,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
