StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,pid,id,56_att,56_v.n,56_p.n,56_i.n,56_u.n,56_a.n,57_att,57_v.n,57_p.n,57_i.n,57_u.n,57_a.n,58_att,58_v.n,58_p.n,58_i.n,58_u.n,58_a.n,59_att,59_v.n,59_p.n,59_i.n,59_u.n,59_a.n,60_att,60_v.n,60_p.n,60_i.n,60_u.n,60_a.n,61_att,61_v.n,61_p.n,61_i.n,61_u.n,61_a.n,62_att,62_v.n,62_p.n,62_i.n,62_u.n,62_a.n,63_att,63_v.n,63_p.n,63_i.n,63_u.n,63_a.n,64_att,64_v.n,64_p.n,64_i.n,64_u.n,64_a.n,65_att,65_v.n,65_p.n,65_i.n,65_u.n,65_a.n,19_att,19_v.g,19_p.g,19_i.g,19_u.g,19_a.g,20_att,20_v.g,20_p.g,20_i.g,20_u.g,20_a.g,21_att,21_v.g,21_p.g,21_i.g,21_u.g,21_a.g,22_att,22_v.g,22_p.g,22_i.g,22_u.g,22_a.g,23_att,23_v.g,23_p.g,23_i.g,23_u.g,23_a.g,24_att,24_v.g,24_p.g,24_i.g,24_u.g,24_a.g,25_att,25_v.g,25_p.g,25_i.g,25_u.g,25_a.g,26_att,26_v.g,26_p.g,26_i.g,26_u.g,26_a.g,27_att,27_v.g,27_p.g,27_i.g,27_u.g,27_a.g,28_att,28_v.g,28_p.g,28_i.g,28_u.g,28_a.g,FL_77_DO,case_DO,message_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Do you consent to participate in this research?,,Please enter your unique prolific ID below,I learned that the perceptions of people regarding the value of an object really hasn't changed all that much. If someone believes something is brand new and is of high enough value they are going to treat the item with more care. This almost reinforces the idea that people are generally good natured and respectful of property; although my run-in's with Fed-Ex tell me otherwise - Please select the middle option.,I learned that the perceptions of people regarding the value of an object really hasn't changed all that much. If someone believes something is brand new and is of high enough value they are going to treat the item with more care. This almost reinforces the idea that people are generally good natured and respectful of property; although my run-in's with Fed-Ex tell me otherwise - How valuable is this lesson to you?,I learned that the perceptions of people regarding the value of an object really hasn't changed all that much. If someone believes something is brand new and is of high enough value they are going to treat the item with more care. This almost reinforces the idea that people are generally good natured and respectful of property; although my run-in's with Fed-Ex tell me otherwise - How much does this lesson change your perspective?,I learned that the perceptions of people regarding the value of an object really hasn't changed all that much. If someone believes something is brand new and is of high enough value they are going to treat the item with more care. This almost reinforces the idea that people are generally good natured and respectful of property; although my run-in's with Fed-Ex tell me otherwise - How much insight does this lesson give you?,I learned that the perceptions of people regarding the value of an object really hasn't changed all that much. If someone believes something is brand new and is of high enough value they are going to treat the item with more care. This almost reinforces the idea that people are generally good natured and respectful of property; although my run-in's with Fed-Ex tell me otherwise - How useful is this lesson to you?,I learned that the perceptions of people regarding the value of an object really hasn't changed all that much. If someone believes something is brand new and is of high enough value they are going to treat the item with more care. This almost reinforces the idea that people are generally good natured and respectful of property; although my run-in's with Fed-Ex tell me otherwise - How much can you use this lesson in the future?,"To avoid further damage to their product they found that if they put an image of a tv, the individuals transporting the product would be inclined to be more careful as oppose to sending the product in regular packaging. - Please select the middle option.","To avoid further damage to their product they found that if they put an image of a tv, the individuals transporting the product would be inclined to be more careful as oppose to sending the product in regular packaging. - How valuable is this lesson to you?","To avoid further damage to their product they found that if they put an image of a tv, the individuals transporting the product would be inclined to be more careful as oppose to sending the product in regular packaging. - How much does this lesson change your perspective?","To avoid further damage to their product they found that if they put an image of a tv, the individuals transporting the product would be inclined to be more careful as oppose to sending the product in regular packaging. - How much insight does this lesson give you?","To avoid further damage to their product they found that if they put an image of a tv, the individuals transporting the product would be inclined to be more careful as oppose to sending the product in regular packaging. - How useful is this lesson to you?","To avoid further damage to their product they found that if they put an image of a tv, the individuals transporting the product would be inclined to be more careful as oppose to sending the product in regular packaging. - How much can you use this lesson in the future?",sometimes people just have some weird ideas but it can work - Please select the middle option.,sometimes people just have some weird ideas but it can work - How valuable is this lesson to you?,sometimes people just have some weird ideas but it can work - How much does this lesson change your perspective?,sometimes people just have some weird ideas but it can work - How much insight does this lesson give you?,sometimes people just have some weird ideas but it can work - How useful is this lesson to you?,sometimes people just have some weird ideas but it can work - How much can you use this lesson in the future?,"This lesson affirms that sometimes you need to lie for your message to be respected or clearer. By changing the image of the box, the workers are more respectful because they know it is something fragile inside. However it shouldn't, because worker should respect every item the same. - Please select the middle option.","This lesson affirms that sometimes you need to lie for your message to be respected or clearer. By changing the image of the box, the workers are more respectful because they know it is something fragile inside. However it shouldn't, because worker should respect every item the same. - How valuable is this lesson to you?","This lesson affirms that sometimes you need to lie for your message to be respected or clearer. By changing the image of the box, the workers are more respectful because they know it is something fragile inside. However it shouldn't, because worker should respect every item the same. - How much does this lesson change your perspective?","This lesson affirms that sometimes you need to lie for your message to be respected or clearer. By changing the image of the box, the workers are more respectful because they know it is something fragile inside. However it shouldn't, because worker should respect every item the same. - How much insight does this lesson give you?","This lesson affirms that sometimes you need to lie for your message to be respected or clearer. By changing the image of the box, the workers are more respectful because they know it is something fragile inside. However it shouldn't, because worker should respect every item the same. - How useful is this lesson to you?","This lesson affirms that sometimes you need to lie for your message to be respected or clearer. By changing the image of the box, the workers are more respectful because they know it is something fragile inside. However it shouldn't, because worker should respect every item the same. - How much can you use this lesson in the future?",that the delivery drivers will treat a known object such as a TV with greater care than a bike.  It is known that a TV is fragile so the parcel is treated with greater care than if it was just a bike. - Please select the middle option.,that the delivery drivers will treat a known object such as a TV with greater care than a bike.  It is known that a TV is fragile so the parcel is treated with greater care than if it was just a bike. - How valuable is this lesson to you?,that the delivery drivers will treat a known object such as a TV with greater care than a bike.  It is known that a TV is fragile so the parcel is treated with greater care than if it was just a bike. - How much does this lesson change your perspective?,that the delivery drivers will treat a known object such as a TV with greater care than a bike.  It is known that a TV is fragile so the parcel is treated with greater care than if it was just a bike. - How much insight does this lesson give you?,that the delivery drivers will treat a known object such as a TV with greater care than a bike.  It is known that a TV is fragile so the parcel is treated with greater care than if it was just a bike. - How useful is this lesson to you?,that the delivery drivers will treat a known object such as a TV with greater care than a bike.  It is known that a TV is fragile so the parcel is treated with greater care than if it was just a bike. - How much can you use this lesson in the future?,"I learnt that to get the best service, you need to check whether your product means something and is respected by the courier to ensure it is treated well. A white lie can improve so much. - Please select the middle option.","I learnt that to get the best service, you need to check whether your product means something and is respected by the courier to ensure it is treated well. A white lie can improve so much. - How valuable is this lesson to you?","I learnt that to get the best service, you need to check whether your product means something and is respected by the courier to ensure it is treated well. A white lie can improve so much. - How much does this lesson change your perspective?","I learnt that to get the best service, you need to check whether your product means something and is respected by the courier to ensure it is treated well. A white lie can improve so much. - How much insight does this lesson give you?","I learnt that to get the best service, you need to check whether your product means something and is respected by the courier to ensure it is treated well. A white lie can improve so much. - How useful is this lesson to you?","I learnt that to get the best service, you need to check whether your product means something and is respected by the courier to ensure it is treated well. A white lie can improve so much. - How much can you use this lesson in the future?",I consider it to be slightly fraudulent to misrepresent the contents of a parcel. - Please select the middle option.,I consider it to be slightly fraudulent to misrepresent the contents of a parcel. - How valuable is this lesson to you?,I consider it to be slightly fraudulent to misrepresent the contents of a parcel. - How much does this lesson change your perspective?,I consider it to be slightly fraudulent to misrepresent the contents of a parcel. - How much insight does this lesson give you?,I consider it to be slightly fraudulent to misrepresent the contents of a parcel. - How useful is this lesson to you?,I consider it to be slightly fraudulent to misrepresent the contents of a parcel. - How much can you use this lesson in the future?,"That if you’re a business owner faced with some complex issue, you can manipulate the situation and use that to your advantage ( legally).  - Please select the middle option.","That if you’re a business owner faced with some complex issue, you can manipulate the situation and use that to your advantage ( legally).  - How valuable is this lesson to you?","That if you’re a business owner faced with some complex issue, you can manipulate the situation and use that to your advantage ( legally).  - How much does this lesson change your perspective?","That if you’re a business owner faced with some complex issue, you can manipulate the situation and use that to your advantage ( legally).  - How much insight does this lesson give you?","That if you’re a business owner faced with some complex issue, you can manipulate the situation and use that to your advantage ( legally).  - How useful is this lesson to you?","That if you’re a business owner faced with some complex issue, you can manipulate the situation and use that to your advantage ( legally).  - How much can you use this lesson in the future?",People are more understanding when they have more information. - Please select the middle option.,People are more understanding when they have more information. - How valuable is this lesson to you?,People are more understanding when they have more information. - How much does this lesson change your perspective?,People are more understanding when they have more information. - How much insight does this lesson give you?,People are more understanding when they have more information. - How useful is this lesson to you?,People are more understanding when they have more information. - How much can you use this lesson in the future?,A company that makes electric bikes we’re finding a lot of their products were arriving tat customers damaged. They found that by putting a tv image on the box that fewer products were arriving damaged as no one wants to damage a new tv. - Please select the middle option.,A company that makes electric bikes we’re finding a lot of their products were arriving tat customers damaged. They found that by putting a tv image on the box that fewer products were arriving damaged as no one wants to damage a new tv. - How valuable is this lesson to you?,A company that makes electric bikes we’re finding a lot of their products were arriving tat customers damaged. They found that by putting a tv image on the box that fewer products were arriving damaged as no one wants to damage a new tv. - How much does this lesson change your perspective?,A company that makes electric bikes we’re finding a lot of their products were arriving tat customers damaged. They found that by putting a tv image on the box that fewer products were arriving damaged as no one wants to damage a new tv. - How much insight does this lesson give you?,A company that makes electric bikes we’re finding a lot of their products were arriving tat customers damaged. They found that by putting a tv image on the box that fewer products were arriving damaged as no one wants to damage a new tv. - How useful is this lesson to you?,A company that makes electric bikes we’re finding a lot of their products were arriving tat customers damaged. They found that by putting a tv image on the box that fewer products were arriving damaged as no one wants to damage a new tv. - How much can you use this lesson in the future?,"Companies, which produce products that are not necessarily fragile, package their products in the same manner as generally fragile products, to reduce potential damage in transport, assuming that people working in transport will pay more care to them. - Please select the middle option.","Companies, which produce products that are not necessarily fragile, package their products in the same manner as generally fragile products, to reduce potential damage in transport, assuming that people working in transport will pay more care to them. - How valuable is this lesson to you?","Companies, which produce products that are not necessarily fragile, package their products in the same manner as generally fragile products, to reduce potential damage in transport, assuming that people working in transport will pay more care to them. - How much does this lesson change your perspective?","Companies, which produce products that are not necessarily fragile, package their products in the same manner as generally fragile products, to reduce potential damage in transport, assuming that people working in transport will pay more care to them. - How much insight does this lesson give you?","Companies, which produce products that are not necessarily fragile, package their products in the same manner as generally fragile products, to reduce potential damage in transport, assuming that people working in transport will pay more care to them. - How useful is this lesson to you?","Companies, which produce products that are not necessarily fragile, package their products in the same manner as generally fragile products, to reduce potential damage in transport, assuming that people working in transport will pay more care to them. - How much can you use this lesson in the future?","I learned about the transportation of fragile items, which changed my perception and made me curious - Please select the middle option.","I learned about the transportation of fragile items, which changed my perception and made me curious - How valuable is this lesson to you?","I learned about the transportation of fragile items, which changed my perception and made me curious - How much does this lesson change your perspective?","I learned about the transportation of fragile items, which changed my perception and made me curious - How much insight does this lesson give you?","I learned about the transportation of fragile items, which changed my perception and made me curious - How useful is this lesson to you?","I learned about the transportation of fragile items, which changed my perception and made me curious - How much can you use this lesson in the future?","If you make something look fragile, even if it isn't, people will treat it as fragile and thus it will be preserved better. - Please select the middle option.","If you make something look fragile, even if it isn't, people will treat it as fragile and thus it will be preserved better. - How valuable is this lesson to you?","If you make something look fragile, even if it isn't, people will treat it as fragile and thus it will be preserved better. - How much does this lesson change your perspective?","If you make something look fragile, even if it isn't, people will treat it as fragile and thus it will be preserved better. - How much insight does this lesson give you?","If you make something look fragile, even if it isn't, people will treat it as fragile and thus it will be preserved better. - How useful is this lesson to you?","If you make something look fragile, even if it isn't, people will treat it as fragile and thus it will be preserved better. - How much can you use this lesson in the future?",From this situation is goes to show that the worth we give to products can derive from its appearance. Therefore in a practical situation we can adapt this lesson to other areas where appearance can be more powerfull than its actual content - Please select the middle option.,From this situation is goes to show that the worth we give to products can derive from its appearance. Therefore in a practical situation we can adapt this lesson to other areas where appearance can be more powerfull than its actual content - How valuable is this lesson to you?,From this situation is goes to show that the worth we give to products can derive from its appearance. Therefore in a practical situation we can adapt this lesson to other areas where appearance can be more powerfull than its actual content - How much does this lesson change your perspective?,From this situation is goes to show that the worth we give to products can derive from its appearance. Therefore in a practical situation we can adapt this lesson to other areas where appearance can be more powerfull than its actual content - How much insight does this lesson give you?,From this situation is goes to show that the worth we give to products can derive from its appearance. Therefore in a practical situation we can adapt this lesson to other areas where appearance can be more powerfull than its actual content - How useful is this lesson to you?,From this situation is goes to show that the worth we give to products can derive from its appearance. Therefore in a practical situation we can adapt this lesson to other areas where appearance can be more powerfull than its actual content - How much can you use this lesson in the future?,Realizing that packaging products to resemble more delicate items can decrease shipping damages and cost it's a practical notion. This insight holds importance for both entrepreneurs who are gonna reshapes their understanding of packaging from mere aesthetics to a strategic tool and for discerning consumers on a construal level. - Please select the middle option.,Realizing that packaging products to resemble more delicate items can decrease shipping damages and cost it's a practical notion. This insight holds importance for both entrepreneurs who are gonna reshapes their understanding of packaging from mere aesthetics to a strategic tool and for discerning consumers on a construal level. - How valuable is this lesson to you?,Realizing that packaging products to resemble more delicate items can decrease shipping damages and cost it's a practical notion. This insight holds importance for both entrepreneurs who are gonna reshapes their understanding of packaging from mere aesthetics to a strategic tool and for discerning consumers on a construal level. - How much does this lesson change your perspective?,Realizing that packaging products to resemble more delicate items can decrease shipping damages and cost it's a practical notion. This insight holds importance for both entrepreneurs who are gonna reshapes their understanding of packaging from mere aesthetics to a strategic tool and for discerning consumers on a construal level. - How much insight does this lesson give you?,Realizing that packaging products to resemble more delicate items can decrease shipping damages and cost it's a practical notion. This insight holds importance for both entrepreneurs who are gonna reshapes their understanding of packaging from mere aesthetics to a strategic tool and for discerning consumers on a construal level. - How useful is this lesson to you?,Realizing that packaging products to resemble more delicate items can decrease shipping damages and cost it's a practical notion. This insight holds importance for both entrepreneurs who are gonna reshapes their understanding of packaging from mere aesthetics to a strategic tool and for discerning consumers on a construal level. - How much can you use this lesson in the future?,"Stating that a parcel is fragile, even if it isn’t, could make the courier handle it with more care. Therefore, this could reduce damage in transit that could cost the sender.  - Please select the middle option.","Stating that a parcel is fragile, even if it isn’t, could make the courier handle it with more care. Therefore, this could reduce damage in transit that could cost the sender.  - How valuable is this lesson to you?","Stating that a parcel is fragile, even if it isn’t, could make the courier handle it with more care. Therefore, this could reduce damage in transit that could cost the sender.  - How much does this lesson change your perspective?","Stating that a parcel is fragile, even if it isn’t, could make the courier handle it with more care. Therefore, this could reduce damage in transit that could cost the sender.  - How much insight does this lesson give you?","Stating that a parcel is fragile, even if it isn’t, could make the courier handle it with more care. Therefore, this could reduce damage in transit that could cost the sender.  - How useful is this lesson to you?","Stating that a parcel is fragile, even if it isn’t, could make the courier handle it with more care. Therefore, this could reduce damage in transit that could cost the sender.  - How much can you use this lesson in the future?",The companies package certain products in a certain way depending on the fragility of the product while still trying to make it look appealing. - Please select the middle option.,The companies package certain products in a certain way depending on the fragility of the product while still trying to make it look appealing. - How valuable is this lesson to you?,The companies package certain products in a certain way depending on the fragility of the product while still trying to make it look appealing. - How much does this lesson change your perspective?,The companies package certain products in a certain way depending on the fragility of the product while still trying to make it look appealing. - How much insight does this lesson give you?,The companies package certain products in a certain way depending on the fragility of the product while still trying to make it look appealing. - How useful is this lesson to you?,The companies package certain products in a certain way depending on the fragility of the product while still trying to make it look appealing. - How much can you use this lesson in the future?,I learned that companies make the boxes for their products shaped to resemble other fragile items to decrease the likelihood of damages while transporting. In a way this thought me about the human mind and being more careful with something that looks fragile even if it isn't as it seems - Please select the middle option.,I learned that companies make the boxes for their products shaped to resemble other fragile items to decrease the likelihood of damages while transporting. In a way this thought me about the human mind and being more careful with something that looks fragile even if it isn't as it seems - How valuable is this lesson to you?,I learned that companies make the boxes for their products shaped to resemble other fragile items to decrease the likelihood of damages while transporting. In a way this thought me about the human mind and being more careful with something that looks fragile even if it isn't as it seems - How much does this lesson change your perspective?,I learned that companies make the boxes for their products shaped to resemble other fragile items to decrease the likelihood of damages while transporting. In a way this thought me about the human mind and being more careful with something that looks fragile even if it isn't as it seems - How much insight does this lesson give you?,I learned that companies make the boxes for their products shaped to resemble other fragile items to decrease the likelihood of damages while transporting. In a way this thought me about the human mind and being more careful with something that looks fragile even if it isn't as it seems - How useful is this lesson to you?,I learned that companies make the boxes for their products shaped to resemble other fragile items to decrease the likelihood of damages while transporting. In a way this thought me about the human mind and being more careful with something that looks fragile even if it isn't as it seems - How much can you use this lesson in the future?,"If you package an item for postage and make it appear to be fairly fragile, it is hoped that the package will be handled more sympathetically than one that doesn’t seem fragikr - Please select the middle option.","If you package an item for postage and make it appear to be fairly fragile, it is hoped that the package will be handled more sympathetically than one that doesn’t seem fragikr - How valuable is this lesson to you?","If you package an item for postage and make it appear to be fairly fragile, it is hoped that the package will be handled more sympathetically than one that doesn’t seem fragikr - How much does this lesson change your perspective?","If you package an item for postage and make it appear to be fairly fragile, it is hoped that the package will be handled more sympathetically than one that doesn’t seem fragikr - How much insight does this lesson give you?","If you package an item for postage and make it appear to be fairly fragile, it is hoped that the package will be handled more sympathetically than one that doesn’t seem fragikr - How useful is this lesson to you?","If you package an item for postage and make it appear to be fairly fragile, it is hoped that the package will be handled more sympathetically than one that doesn’t seem fragikr - How much can you use this lesson in the future?",when something gets shipped. It is safest if it gets packed with products that are simularvto the product that is getting packed to avoid damage - Please select the middle option.,when something gets shipped. It is safest if it gets packed with products that are simularvto the product that is getting packed to avoid damage - How valuable is this lesson to you?,when something gets shipped. It is safest if it gets packed with products that are simularvto the product that is getting packed to avoid damage - How much does this lesson change your perspective?,when something gets shipped. It is safest if it gets packed with products that are simularvto the product that is getting packed to avoid damage - How much insight does this lesson give you?,when something gets shipped. It is safest if it gets packed with products that are simularvto the product that is getting packed to avoid damage - How useful is this lesson to you?,when something gets shipped. It is safest if it gets packed with products that are simularvto the product that is getting packed to avoid damage - How much can you use this lesson in the future?,FL_77 - Block Randomizer - Display Order,case - Display Order,message - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1717457504""}",,"{""ImportId"":""QID38_TEXT""}","{""ImportId"":""56_QID218""}","{""ImportId"":""56_QID57""}","{""ImportId"":""56_QID58""}","{""ImportId"":""56_QID59""}","{""ImportId"":""56_QID60""}","{""ImportId"":""56_QID98""}","{""ImportId"":""57_QID218""}","{""ImportId"":""57_QID57""}","{""ImportId"":""57_QID58""}","{""ImportId"":""57_QID59""}","{""ImportId"":""57_QID60""}","{""ImportId"":""57_QID98""}","{""ImportId"":""58_QID218""}","{""ImportId"":""58_QID57""}","{""ImportId"":""58_QID58""}","{""ImportId"":""58_QID59""}","{""ImportId"":""58_QID60""}","{""ImportId"":""58_QID98""}","{""ImportId"":""59_QID218""}","{""ImportId"":""59_QID57""}","{""ImportId"":""59_QID58""}","{""ImportId"":""59_QID59""}","{""ImportId"":""59_QID60""}","{""ImportId"":""59_QID98""}","{""ImportId"":""60_QID218""}","{""ImportId"":""60_QID57""}","{""ImportId"":""60_QID58""}","{""ImportId"":""60_QID59""}","{""ImportId"":""60_QID60""}","{""ImportId"":""60_QID98""}","{""ImportId"":""61_QID218""}","{""ImportId"":""61_QID57""}","{""ImportId"":""61_QID58""}","{""ImportId"":""61_QID59""}","{""ImportId"":""61_QID60""}","{""ImportId"":""61_QID98""}","{""ImportId"":""62_QID218""}","{""ImportId"":""62_QID57""}","{""ImportId"":""62_QID58""}","{""ImportId"":""62_QID59""}","{""ImportId"":""62_QID60""}","{""ImportId"":""62_QID98""}","{""ImportId"":""63_QID218""}","{""ImportId"":""63_QID57""}","{""ImportId"":""63_QID58""}","{""ImportId"":""63_QID59""}","{""ImportId"":""63_QID60""}","{""ImportId"":""63_QID98""}","{""ImportId"":""64_QID218""}","{""ImportId"":""64_QID57""}","{""ImportId"":""64_QID58""}","{""ImportId"":""64_QID59""}","{""ImportId"":""64_QID60""}","{""ImportId"":""64_QID98""}","{""ImportId"":""65_QID218""}","{""ImportId"":""65_QID57""}","{""ImportId"":""65_QID58""}","{""ImportId"":""65_QID59""}","{""ImportId"":""65_QID60""}","{""ImportId"":""65_QID98""}","{""ImportId"":""19_QID219""}","{""ImportId"":""19_QID212""}","{""ImportId"":""19_QID213""}","{""ImportId"":""19_QID214""}","{""ImportId"":""19_QID215""}","{""ImportId"":""19_QID216""}","{""ImportId"":""20_QID219""}","{""ImportId"":""20_QID212""}","{""ImportId"":""20_QID213""}","{""ImportId"":""20_QID214""}","{""ImportId"":""20_QID215""}","{""ImportId"":""20_QID216""}","{""ImportId"":""21_QID219""}","{""ImportId"":""21_QID212""}","{""ImportId"":""21_QID213""}","{""ImportId"":""21_QID214""}","{""ImportId"":""21_QID215""}","{""ImportId"":""21_QID216""}","{""ImportId"":""22_QID219""}","{""ImportId"":""22_QID212""}","{""ImportId"":""22_QID213""}","{""ImportId"":""22_QID214""}","{""ImportId"":""22_QID215""}","{""ImportId"":""22_QID216""}","{""ImportId"":""23_QID219""}","{""ImportId"":""23_QID212""}","{""ImportId"":""23_QID213""}","{""ImportId"":""23_QID214""}","{""ImportId"":""23_QID215""}","{""ImportId"":""23_QID216""}","{""ImportId"":""24_QID219""}","{""ImportId"":""24_QID212""}","{""ImportId"":""24_QID213""}","{""ImportId"":""24_QID214""}","{""ImportId"":""24_QID215""}","{""ImportId"":""24_QID216""}","{""ImportId"":""25_QID219""}","{""ImportId"":""25_QID212""}","{""ImportId"":""25_QID213""}","{""ImportId"":""25_QID214""}","{""ImportId"":""25_QID215""}","{""ImportId"":""25_QID216""}","{""ImportId"":""26_QID219""}","{""ImportId"":""26_QID212""}","{""ImportId"":""26_QID213""}","{""ImportId"":""26_QID214""}","{""ImportId"":""26_QID215""}","{""ImportId"":""26_QID216""}","{""ImportId"":""27_QID219""}","{""ImportId"":""27_QID212""}","{""ImportId"":""27_QID213""}","{""ImportId"":""27_QID214""}","{""ImportId"":""27_QID215""}","{""ImportId"":""27_QID216""}","{""ImportId"":""28_QID219""}","{""ImportId"":""28_QID212""}","{""ImportId"":""28_QID213""}","{""ImportId"":""28_QID214""}","{""ImportId"":""28_QID215""}","{""ImportId"":""28_QID216""}","{""ImportId"":""FL_77_DO""}","{""ImportId"":""BL_cvbYzHUQA9GUQw6_DO""}","{""ImportId"":""BL_0VxvpfNdVJZB9Hg_DO""}"
4/3/2024 17:49,4/3/2024 17:50,1,100,31,1,4/3/2024 17:50,,,,,preview,EN,1,5df40089dcd3e32d8dde6fac,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,case,Q129|case|v.n|a.n|u.n|i.n|p.n,
4/4/2024 7:25,4/4/2024 7:26,0,100,63,1,4/4/2024 7:26,,,,,anonymous,EN,1,617043d82d04da516b29f797,5df40089dcd3e32d8dde6fac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,message,,Q210|message|v.g|i.g|u.g|a.g|p.g|att
4/4/2024 7:26,4/4/2024 7:27,0,100,35,1,4/4/2024 7:27,,,,,anonymous,EN,1,5f086d061c03410654f5ec0c,6107f99b4033d300a0879ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,6,2,,,,,,,,,,,,,message,,Q210|message|u.g|v.g|p.g|att|a.g|i.g
4/4/2024 7:26,4/4/2024 7:27,0,100,36,1,4/4/2024 7:27,,,,,anonymous,EN,1,64f08fccf0c57dccf094ffbb,6070cfb276c26c04581246df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,message,,Q210|message|v.g|a.g|att|p.g|u.g|i.g
4/4/2024 7:26,4/4/2024 7:27,0,100,66,1,4/4/2024 7:27,,,,,anonymous,EN,1,6107f99b4033d300a0879ed9,64f08fccf0c57dccf094ffbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,case,Q129|case|u.n|p.n|v.n|att|i.n|a.n,
4/4/2024 7:27,4/4/2024 7:27,0,100,32,1,4/4/2024 7:27,,,,,anonymous,EN,1,6070cfb276c26c04581246df,60fd38e96ee8f82a7b11fb68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,case,Q129|case|v.n|a.n|u.n|att|i.n|p.n,
4/4/2024 7:26,4/4/2024 7:28,0,100,106,1,4/4/2024 7:28,,,,,anonymous,EN,1,5f9b15d9d7b7d92e6d5494bb,617043d82d04da516b29f797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,message,,Q210|message|u.g|att|a.g|i.g|v.g|p.g
4/4/2024 7:27,4/4/2024 7:28,0,100,63,1,4/4/2024 7:28,,,,,anonymous,EN,1,660ea58e3fec4447a09d47ab,61645f9a6c3587711dc3de74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,message,,Q210|message|u.g|a.g|v.g|att|i.g|p.g
