"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","id","com.1","com.2","v.c1_s","p.c1_s","i.c1_s","u.c1_s","a.c1_s","att_s","z","q_s","q_s_DO","v.c1_t","p.c1_t","i.c1_t","u.c1_t","a.c1_t","att_t","q_t","q_t_DO","v.m1_s","p.m1_s","i.m1_s","u.m1_s","a.m1_s","att_s.1","v.m1_t","p.m1_t","i.m1_t","u.m1_t","a.m1_t","att_t.1","FL_14_DO","FL_109_DO","FL_110_DO","casevienna_DO","casetech.pizza_DO","messagevienna_DO","messagetech.pizza_DO"
"5/13/2024 8:10","5/13/2024 8:10","0","100","48","1","5/13/2024 8:10","","","","","anonymous","EN","1",1,"7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:07","5/13/2024 8:11","0","100","215","1","5/13/2024 8:11","","","","","anonymous","EN","1",2,"7","1","5","5","4","6","6","4","A study was done comparing the deaths between two hospitals, where one hospital was showing a much greater number of deaths. It was proven via data that the doctors of the hospital with far more deaths weren't washing their hands, but this data wasn't taken seriously until germ theory was widely adopted later on.","0","0|0|1","","","","","","","","","","","","","","","","","","","","","FL_108","FL_51","","Q129|Q56|att_s|u.c1_s|a.c1_s|p.c1_s|i.c1_s|v.c1_s","","",""
"5/13/2024 8:10","5/13/2024 8:11","0","100","29","1","5/13/2024 8:11","","","","","anonymous","EN","1",3,"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:11","0","100","61","1","5/13/2024 8:11","","","","","anonymous","EN","1",4,"7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:11","0","100","51","1","5/13/2024 8:11","","","","","anonymous","EN","1",5,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:11","5/13/2024 8:11","0","100","33","1","5/13/2024 8:11","","","","","anonymous","EN","1",6,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:11","0","100","59","1","5/13/2024 8:11","","","","","anonymous","EN","1",7,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:08","5/13/2024 8:11","0","100","210","1","5/13/2024 8:11","","","","","anonymous","EN","1",8,"7","1","","","","","","","Most of the time our perspectives changes because of theories that we come across or read","1","1|0|0","","","","","","","","","5","6","5","5","6","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|i.m1_s|a.m1_s|att_s|p.m1_s|u.m1_s|v.m1_s",""
"5/13/2024 8:10","5/13/2024 8:11","0","100","71","1","5/13/2024 8:11","","","","","anonymous","EN","1",9,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:09","5/13/2024 8:12","0","100","139","1","5/13/2024 8:12","","","","","anonymous","EN","1",10,"7","1","","","","","","","If somethings not working try and charnge your tatic","","","5","4","4","4","5","4","1","0|0|1","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|i.c1_t|v.c1_t|att_t|p.c1_t|u.c1_t|a.c1_t","",""
