StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,pid,id,com.1,com.2,v.c1_s,p.c1_s,i.c1_s,u.c1_s,a.c1_s,att_s,z,q_s,q_s_DO,v.c1_t,p.c1_t,i.c1_t,u.c1_t,a.c1_t,att_t,q_t,q_t_DO,v.m1_s,p.m1_s,i.m1_s,u.m1_s,a.m1_s,att_s,v.m1_t,p.m1_t,i.m1_t,u.m1_t,a.m1_t,att_t,FL_14_DO,FL_109_DO,FL_110_DO,casevienna_DO,casetech/pizza_DO,messagevienna_DO,messagetech/pizza_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Do you consent to participate in this research?,,Please enter your unique prolific ID below,How much insight did that lesson give you?,How much insight did that lesson give you?,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,"We would like you to reflect on the information you just read. Using the space provided below, in your own words, please explain what exactly you learned or what insight this information provided.

Please try to make your explanation as compelling as possible.","According to the information you read, which of these is often required for people to change their minds?","According to the information you read, which of these is often required for people to change their minds? - Display Order",How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,"According to the information you read earlier, which strategy is an unconventional way  to rescue  a disliked product?","According to the information you read earlier, which strategy is an unconventional way  to rescue  a disliked product? - Display Order",How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,FL_14 - Block Randomizer - Display Order,FL_109 - Block Randomizer - Display Order,FL_110 - Block Randomizer - Display Order,case vienna - Display Order,case tech/pizza - Display Order,message vienna - Display Order,message tech/pizza - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1717457504""}",,"{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID319""}","{""ImportId"":""QID323""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID98""}","{""ImportId"":""QID325""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID211""}","{""ImportId"":""QID211_DO""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID326""}","{""ImportId"":""QID209""}","{""ImportId"":""QID209_DO""}","{""ImportId"":""QID260""}","{""ImportId"":""QID261""}","{""ImportId"":""QID262""}","{""ImportId"":""QID263""}","{""ImportId"":""QID264""}","{""ImportId"":""QID327""}","{""ImportId"":""QID290""}","{""ImportId"":""QID291""}","{""ImportId"":""QID292""}","{""ImportId"":""QID293""}","{""ImportId"":""QID294""}","{""ImportId"":""QID328""}","{""ImportId"":""FL_14_DO""}","{""ImportId"":""FL_109_DO""}","{""ImportId"":""FL_110_DO""}","{""ImportId"":""BL_cvbYzHUQA9GUQw6_DO""}","{""ImportId"":""BL_1M1DBIL8nEqGgl0_DO""}","{""ImportId"":""BL_6QlRgnaCREXMSl8_DO""}","{""ImportId"":""BL_24zV7vCKOlqXFxs_DO""}"
5/12/2024 11:31,5/12/2024 11:33,1,100,124,1,5/12/2024 11:33,,,,,preview,EN,1,593e307c48df7100015e518c,a,7,1,,,,,,,blah blah blah,,,6,6,4,6,6,6,1,1|0|0,,,,,,,,,,,,,FL_108,FL_82,,,Q213|Q214|i.c1_t|att_t|a.c1_t|p.c1_t|v.c1_t|u.c1_t,,
5/13/2024 7:52,5/13/2024 7:52,1,100,45,1,5/13/2024 7:52,,,,,preview,EN,1,611cef2658a262a018829246,a,7,1,,,,,,,sadhathartha arsdgaregargargae,0,0|1|0,,,,,,,,,7,7,7,7,7,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|att_s|p.m1_s|v.m1_s|u.m1_s|i.m1_s|a.m1_s,
5/13/2024 8:10,5/13/2024 8:10,0,100,48,1,5/13/2024 8:10,,,,,anonymous,EN,1,5ff1be724cfb7d137e366235,5d3c3f97607ede00010711a0,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:07,5/13/2024 8:11,0,100,215,1,5/13/2024 8:11,,,,,anonymous,EN,1,60ce3ac4d251ea55f805b485,593e307c48df7100015e518c,7,1,5,5,4,6,6,4,"A study was done comparing the deaths between two hospitals, where one hospital was showing a much greater number of deaths. It was proven via data that the doctors of the hospital with far more deaths weren't washing their hands, but this data wasn't taken seriously until germ theory was widely adopted later on.",0,0|0|1,,,,,,,,,,,,,,,,,,,,,FL_108,FL_51,,Q129|Q56|att_s|u.c1_s|a.c1_s|p.c1_s|i.c1_s|v.c1_s,,,
5/13/2024 8:10,5/13/2024 8:11,0,100,39,1,5/13/2024 8:11,,,,,anonymous,EN,1,614dcc85f9b130cad7844ceb,605b52d6903ac0311ac2f941,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:11,0,100,29,1,5/13/2024 8:11,,,,,anonymous,EN,1,614386aaad55b05aa5c7767e,5fb5855cb74f4b0c65f0bef3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:11,0,100,61,1,5/13/2024 8:11,,,,,anonymous,EN,1,608d388faa09644ed65bbd49,66420f65c7e3f00ee38336c3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:11,0,100,51,1,5/13/2024 8:11,,,,,anonymous,EN,1,615eb7b24176fea8c72153e1,5f70b6d420717c6a6dcf0773,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
