Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
English,22,Male,Black,United States,United States,United States,English,No,Part-Time
English,33,Male,White,United States,United States,United States,English,No,Part-Time
English,66,Male,Mixed,United States,United States,United States,English,No,Part-Time
English,55,Female,White,United Kingdom,United Kingdom,Russian Federation,Russian,No,Part-Time
English,51,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
English,64,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
English,37,Female,White,United States,United States,United States,English,No,Part-Time
English,54,Female,White,United States,United States,United States,English,No,Part-Time
English,66,Male,White,Ireland,United Kingdom,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,68,Female,White,United States,United States,United States,English,No,Part-Time
English,29,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
English,30,Male,White,Morocco,Morocco,Morocco,English,No,Unemployed (and job seeking)
"Spanish, Galician, English",28,Male,White,Spain,Spain,Spain,Galician,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Arabic, English",29,Male,Other,Morocco,Morocco,Morocco,English,No,Full-Time
English,28,Male,Black,United States,United States,United States,English,No,Full-Time
English,44,Male,White,Greece,Greece,United States,English,No,Full-Time
"Spanish, English",29,Male,Mixed,Chile,Chile,Chile,English,Yes,Unemployed (and job seeking)
English,68,Female,White,United States,United States,United States,English,Yes,Full-Time
"English, Hungarian",32,Male,White,Hungary,Hungary,Hungary,English,No,Full-Time
English,49,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
"English, Spanish",38,Male,White,United States,United States,United States,English,No,Full-Time
English,34,Male,White,United States,United States,United States,English,No,Full-Time
"Slovenian, English",22,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Part-Time
"Polish, English",38,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
"Italian, English",32,Male,White,Italy,Italy,Italy,Italian,No,DATA_EXPIRED
English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
English,34,Male,Black,United States,United States,United States,English,No,Full-Time
English,31,Male,White,United States,United States,United States,English,Yes,Full-Time
English,22,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
English,38,Male,Mixed,United States,United States,United States,English,No,Part-Time
English,26,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Part-Time
English,47,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
English,25,Male,Asian,India,South Africa,India,English,No,Unemployed (and job seeking)
"English, Hindi, Urdu",25,Male,Asian,India,India,India,English,Yes,Part-Time
English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,54,Male,White,United States,United States,United States,English,No,Part-Time
English,32,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Full-Time
English,39,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
English,29,Male,White,Canada,Canada,Canada,English,No,Part-Time
English,25,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
English,27,Male,Black,United States,United States,United States,English,No,Part-Time
English,20,Male,Asian,United States,United States,Vietnam,English,No,Part-Time
"Greek, English",35,Male,White,Greece,Greece,Greece,Greek,No,Part-Time
English,41,Female,White,United States,United States,United States,English,No,Full-Time
"English, Portuguese",37,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
English,41,Male,Black,United States,United States,United States,English,No,Part-Time
English,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
English,35,Male,Black,United States,United States,United States,English,Yes,Part-Time
English,39,Female,White,United States,United States,United States,English,Yes,Full-Time
"Hebrew, English",40,Male,White,Israel,Israel,Israel,English,No,Full-Time
English,33,Male,White,United States,United States,United States,English,No,Full-Time
"Polish, English",28,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
