StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,pid,id,com.1,com.2,v.1_s,p.1_s,i.1_s,u.1_s,a.1_s,z,v.2_s,p.2_s,i.2_s,u.2_s,a.2_s,x.2_s,v.1_f,p.1_f,i.1_f,u.1_f,a.1_f,v.2_f,p.2_f,i.2_f,u.2_f,a.2_f,x.2_f,v.1_m,p.1_m,i.1_m,u.1_m,a.1_m,v.2_m,p.2_m,i.2_m,u.2_m,a.2_m,x.2_m,v.1_b,p.1_b,i.1_b,u.1_b,a.1_b,v.2_b,p.2_b,i.2_b,u.2_b,a.2_b,x.2_b,v.3_s,p.3_s,i.3_s,u.3_s,a.3_s,x.3_s,v.3_f,p.3_f,i.3_f,u.3_f,a.3_f,x.3_f,v.3_m,p.3_m,i.3_m,u.3_m,a.3_m,x.3_m,v.3_b,p.3_b,i.3_b,u.3_b,a.3_b,x.3_b,cvm,FL_209_DO,FL_130_DO,FL_178_DO,FL_259_DO,FL_332_DO,viennamessage_DO,viennarelevantcase_DO,merrickmessage_DO,merrickrelevantcase_DO,blockbustermessage_DO,blockbusterrelevantcase_DO,bikemessage_DO,bikerelevantcase_DO,viennairrelevantcase_DO,merrickirrelevantcase_DO,blockbusterirrelevantcase_DO,bikeirrelevantcase_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Do you consent to participate in this research?,,Please enter your unique prolific ID below,How much insight did that lesson give you?,How much insight did that lesson give you?,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,"We would like you to reflect on the information you just read and rated. Using the space provided below, in your own words, please explain what exactly you learned or what insight this information provided.

Please try to make your explanation as compelling as possible.",How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,Please select the middle option.,"Overall, did you learn more from the message or the case it came from?",FL_209 - Block Randomizer - Display Order,FL_130 - Block Randomizer - Display Order,FL_178 - Block Randomizer - Display Order,FL_259 - Block Randomizer - Display Order,FL_332 - Block Randomizer - Display Order,vienna message - Display Order,vienna relevant case - Display Order,merrick message - Display Order,merrick relevant case - Display Order,blockbuster message - Display Order,blockbuster relevant case - Display Order,bike message - Display Order,bike relevant case - Display Order,vienna irrelevant case - Display Order,merrick irrelevant case - Display Order,blockbuster irrelevant case - Display Order,bike irrelevant case - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1717457504""}",,"{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID319""}","{""ImportId"":""QID323""}","{""ImportId"":""QID438""}","{""ImportId"":""QID439""}","{""ImportId"":""QID440""}","{""ImportId"":""QID441""}","{""ImportId"":""QID442""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID444""}","{""ImportId"":""QID445""}","{""ImportId"":""QID446""}","{""ImportId"":""QID447""}","{""ImportId"":""QID448""}","{""ImportId"":""QID449""}","{""ImportId"":""QID352""}","{""ImportId"":""QID353""}","{""ImportId"":""QID354""}","{""ImportId"":""QID355""}","{""ImportId"":""QID356""}","{""ImportId"":""QID365""}","{""ImportId"":""QID366""}","{""ImportId"":""QID367""}","{""ImportId"":""QID368""}","{""ImportId"":""QID369""}","{""ImportId"":""QID370""}","{""ImportId"":""QID458""}","{""ImportId"":""QID459""}","{""ImportId"":""QID460""}","{""ImportId"":""QID461""}","{""ImportId"":""QID462""}","{""ImportId"":""QID464""}","{""ImportId"":""QID465""}","{""ImportId"":""QID466""}","{""ImportId"":""QID467""}","{""ImportId"":""QID468""}","{""ImportId"":""QID469""}","{""ImportId"":""QID418""}","{""ImportId"":""QID419""}","{""ImportId"":""QID420""}","{""ImportId"":""QID421""}","{""ImportId"":""QID422""}","{""ImportId"":""QID424""}","{""ImportId"":""QID425""}","{""ImportId"":""QID426""}","{""ImportId"":""QID427""}","{""ImportId"":""QID428""}","{""ImportId"":""QID429""}","{""ImportId"":""QID451""}","{""ImportId"":""QID452""}","{""ImportId"":""QID453""}","{""ImportId"":""QID454""}","{""ImportId"":""QID455""}","{""ImportId"":""QID456""}","{""ImportId"":""QID411""}","{""ImportId"":""QID412""}","{""ImportId"":""QID413""}","{""ImportId"":""QID414""}","{""ImportId"":""QID415""}","{""ImportId"":""QID416""}","{""ImportId"":""QID471""}","{""ImportId"":""QID472""}","{""ImportId"":""QID473""}","{""ImportId"":""QID474""}","{""ImportId"":""QID475""}","{""ImportId"":""QID476""}","{""ImportId"":""QID431""}","{""ImportId"":""QID432""}","{""ImportId"":""QID433""}","{""ImportId"":""QID434""}","{""ImportId"":""QID435""}","{""ImportId"":""QID436""}","{""ImportId"":""QID329""}","{""ImportId"":""FL_209_DO""}","{""ImportId"":""FL_130_DO""}","{""ImportId"":""FL_178_DO""}","{""ImportId"":""FL_259_DO""}","{""ImportId"":""FL_332_DO""}","{""ImportId"":""BL_1AdRctNUveBWmvc_DO""}","{""ImportId"":""BL_4Pi2pcim0LyNS7A_DO""}","{""ImportId"":""BL_1RfdADJi8u9PqQK_DO""}","{""ImportId"":""BL_57n4OyKsv2GdMF0_DO""}","{""ImportId"":""BL_3F9l1KxrhIyJkcS_DO""}","{""ImportId"":""BL_0VcNBbbdKaS8Obk_DO""}","{""ImportId"":""BL_9zO77dmPMGPcEQu_DO""}","{""ImportId"":""BL_2301muPzzGdE2IC_DO""}","{""ImportId"":""BL_3qSMJvnJa5qDdie_DO""}","{""ImportId"":""BL_2cxAi3Q2xcg6Ghg_DO""}","{""ImportId"":""BL_7OmrJK1C1KIRF4O_DO""}","{""ImportId"":""BL_01G6H2cTyU6LVLU_DO""}"
9/6/2024 7:31,9/6/2024 7:32,0,100,50,1,9/6/2024 7:32,,,,,anonymous,EN,1,5bf199cf77eebb0001f3a7a0,5fc3ce366a0a553fcaf30cd9,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2024 7:31,9/6/2024 7:32,0,100,61,1,9/6/2024 7:32,,,,,anonymous,EN,1,5d113545951e3d00151654dd,60f48681314afb7e99d8c23d,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2024 7:32,9/6/2024 7:33,0,100,81,1,9/6/2024 7:33,,,,,anonymous,EN,1,5abc0d68436f550001ff83ff,66a7e03094a60d56e12cbb35,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2024 7:33,9/6/2024 7:34,1,100,51,1,9/6/2024 7:34,,,,,preview,EN,1,5e15bb77e78021b9d45d8cf4,a,7,1,,,,,,safagaerdsasfawefew,,,,,,,5,3,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,7,7,7,4,,,,,,,,,,,,,2,FL_332,,,,FL_339,,,Q351|v.1_f|i.1_f|p.1_f|u.1_f|a.1_f,,,,,,,Q410|u.3_f|p.3_f|i.3_f|a.3_f|x.3_f|v.3_f,,
9/6/2024 7:30,9/6/2024 7:34,0,100,196,1,9/6/2024 7:34,,,,,anonymous,EN,1,5b6d98d55d764f000151a842,5bf199cf77eebb0001f3a7a0,7,1,,,,,,"The need to adapt is vital in today's life and business. You cannot do always the same in a changing environment, it's adapt and evolve or risk failure",,,,,,,,,,,,,,,,,,6,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,4,,,,,,,1,FL_259,,,FL_281,,,,,,Q457|v.1_m|a.1_m|i.1_m|p.1_m|u.1_m,,,,,,Q470|x.3_m|p.3_m|u.3_m|v.3_m|i.3_m|a.3_m,
9/6/2024 7:33,9/6/2024 7:34,0,100,75,1,9/6/2024 7:34,,,,,anonymous,EN,1,60f48681314afb7e99d8c23d,6000105006ea511c281954a8,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2024 7:33,9/6/2024 7:34,0,100,63,1,9/6/2024 7:34,,,,,anonymous,EN,1,6346ad9666e0c7892116eef5,660eafee7515c432e850362d,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2024 7:33,9/6/2024 7:34,0,100,83,1,9/6/2024 7:34,,,,,anonymous,EN,1,668158728ec19c57cf330c80,612fce848026d4ceffd96721,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
