"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","id","com.1","com.2","X1_x.1_s","X1_v.1_s","X1_p.1_s","X1_i.1_s","X1_u.1_s","X1_a.1_s","X2_x.1_s","X2_v.1_s","X2_p.1_s","X2_i.1_s","X2_u.1_s","X2_a.1_s","X3_x.1_s","X3_v.1_s","X3_p.1_s","X3_i.1_s","X3_u.1_s","X3_a.1_s","X4_x.1_s","X4_v.1_s","X4_p.1_s","X4_i.1_s","X4_u.1_s","X4_a.1_s","X5_x.1_s","X5_v.1_s","X5_p.1_s","X5_i.1_s","X5_u.1_s","X5_a.1_s","X6_x.1_s","X6_v.1_s","X6_p.1_s","X6_i.1_s","X6_u.1_s","X6_a.1_s","X7_x.1_s","X7_v.1_s","X7_p.1_s","X7_i.1_s","X7_u.1_s","X7_a.1_s","X1_x.2_s","X1_v.2_s","X1_p.2_s","X1_i.2_s","X1_u.2_s","X1_a.2_s","X2_x.2_s","X2_v.2_s","X2_p.2_s","X2_i.2_s","X2_u.2_s","X2_a.2_s","X3_x.2_s","X3_v.2_s","X3_p.2_s","X3_i.2_s","X3_u.2_s","X3_a.2_s","X4_x.2_s","X4_v.2_s","X4_p.2_s","X4_i.2_s","X4_u.2_s","X4_a.2_s","X1_x.3_s","X1_v.3_s","X1_p.3_s","X1_i.3_s","X1_u.3_s","X1_a.3_s","X2_x.3_s","X2_v.3_s","X2_p.3_s","X2_i.3_s","X2_u.3_s","X2_a.3_s","X3_x.3_s","X3_v.3_s","X3_p.3_s","X3_i.3_s","X3_u.3_s","X3_a.3_s","X4_x.3_s","X4_v.3_s","X4_p.3_s","X4_i.3_s","X4_u.3_s","X4_a.3_s","X1_x.1_m","X1_v.1_m","X1_p.1_m","X1_i.1_m","X1_u.1_m","X1_a.1_m","X2_x.1_m","X2_v.1_m","X2_p.1_m","X2_i.1_m","X2_u.1_m","X2_a.1_m","X3_x.1_m","X3_v.1_m","X3_p.1_m","X3_i.1_m","X3_u.1_m","X3_a.1_m","X4_x.1_m","X4_v.1_m","X4_p.1_m","X4_i.1_m","X4_u.1_m","X4_a.1_m","X5_x.1_m","X5_v.1_m","X5_p.1_m","X5_i.1_m","X5_u.1_m","X5_a.1_m","X6_x.1_m","X6_v.1_m","X6_p.1_m","X6_i.1_m","X6_u.1_m","X6_a.1_m","X7_x.1_m","X7_v.1_m","X7_p.1_m","X7_i.1_m","X7_u.1_m","X7_a.1_m","X1_x.2_m","X1_v.2_m","X1_p.2_m","X1_i.2_m","X1_u.2_m","X1_a.2_m","X2_x.2_m","X2_v.2_m","X2_p.2_m","X2_i.2_m","X2_u.2_m","X2_a.2_m","X3_x.2_m","X3_v.2_m","X3_p.2_m","X3_i.2_m","X3_u.2_m","X3_a.2_m","X4_x.2_m","X4_v.2_m","X4_p.2_m","X4_i.2_m","X4_u.2_m","X4_a.2_m","X1_x.3_m","X1_v.3_m","X1_p.3_m","X1_i.3_m","X1_u.3_m","X1_a.3_m","X2_x.3_m","X2_v.3_m","X2_p.3_m","X2_i.3_m","X2_u.3_m","X2_a.3_m","X3_x.3_m","X3_v.3_m","X3_p.3_m","X3_i.3_m","X3_u.3_m","X3_a.3_m","X4_x.3_m","X4_v.3_m","X4_p.3_m","X4_i.3_m","X4_u.3_m","X4_a.3_m","X1_x.1_f","X1_v.1_f","X1_p.1_f","X1_i.1_f","X1_u.1_f","X1_a.1_f","X2_x.1_f","X2_v.1_f","X2_p.1_f","X2_i.1_f","X2_u.1_f","X2_a.1_f","X3_x.1_f","X3_v.1_f","X3_p.1_f","X3_i.1_f","X3_u.1_f","X3_a.1_f","X4_x.1_f","X4_v.1_f","X4_p.1_f","X4_i.1_f","X4_u.1_f","X4_a.1_f","X5_x.1_f","X5_v.1_f","X5_p.1_f","X5_i.1_f","X5_u.1_f","X5_a.1_f","X6_x.1_f","X6_v.1_f","X6_p.1_f","X6_i.1_f","X6_u.1_f","X6_a.1_f","X7_x.1_f","X7_v.1_f","X7_p.1_f","X7_i.1_f","X7_u.1_f","X7_a.1_f","X1_x.2_f","X1_v.2_f","X1_p.2_f","X1_i.2_f","X1_u.2_f","X1_a.2_f","X2_x.2_f","X2_v.2_f","X2_p.2_f","X2_i.2_f","X2_u.2_f","X2_a.2_f","X3_x.2_f","X3_v.2_f","X3_p.2_f","X3_i.2_f","X3_u.2_f","X3_a.2_f","X4_x.2_f","X4_v.2_f","X4_p.2_f","X4_i.2_f","X4_u.2_f","X4_a.2_f","X1_x.3_f","X1_v.3_f","X1_p.3_f","X1_i.3_f","X1_u.3_f","X1_a.3_f","X2_x.3_f","X2_v.3_f","X2_p.3_f","X2_i.3_f","X2_u.3_f","X2_a.3_f","X3_x.3_f","X3_v.3_f","X3_p.3_f","X3_i.3_f","X3_u.3_f","X3_a.3_f","X1_x.1_b","X1_v.1_b","X1_p.1_b","X1_i.1_b","X1_u.1_b","X1_a.1_b","X2_x.1_b","X2_v.1_b","X2_p.1_b","X2_i.1_b","X2_u.1_b","X2_a.1_b","X3_x.1_b","X3_v.1_b","X3_p.1_b","X3_i.1_b","X3_u.1_b","X3_a.1_b","X4_x.1_b","X4_v.1_b","X4_p.1_b","X4_i.1_b","X4_u.1_b","X4_a.1_b","X5_x.1_b","X5_v.1_b","X5_p.1_b","X5_i.1_b","X5_u.1_b","X5_a.1_b","X6_x.1_b","X6_v.1_b","X6_p.1_b","X6_i.1_b","X6_u.1_b","X6_a.1_b","X7_x.1_b","X7_v.1_b","X7_p.1_b","X7_i.1_b","X7_u.1_b","X7_a.1_b","X1_x.2_b","X1_v.2_b","X1_p.2_b","X1_i.2_b","X1_u.2_b","X1_a.2_b","X2_x.2_b","X2_v.2_b","X2_p.2_b","X2_i.2_b","X2_u.2_b","X2_a.2_b","X3_x.2_b","X3_v.2_b","X3_p.2_b","X3_i.2_b","X3_u.2_b","X3_a.2_b","X9_x.3_b","X9_v.3_b","X9_p.3_b","X9_i.3_b","X9_u.3_b","X9_a.3_b","X10_x.3_b","X10_v.3_b","X10_p.3_b","X10_i.3_b","X10_u.3_b","X10_a.3_b","X11_x.3_b","X11_v.3_b","X11_p.3_b","X11_i.3_b","X11_u.3_b","X11_a.3_b","X12_x.3_b","X12_v.3_b","X12_p.3_b","X12_i.3_b","X12_u.3_b","X12_a.3_b","FL_21_DO","FL_4_DO","FL_18_DO","FL_19_DO","FL_20_DO","messagevienna_DO","relevantvienna_DO","irrelevantvienna_DO","messageblockbuster_DO","relevantblockbuster_DO","irrelevantblockbuster_DO","messagemerrick_DO","relevantmerrick_DO","irrelevantmerrick_DO","messagebike_DO","relevantbike_DO","irrelevantbike_DO"
"9/9/2024 8:31","9/9/2024 8:31","0","100","29","1","9/9/2024 8:31","","","","","anonymous","EN","1",1,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/9/2024 8:32","9/9/2024 8:34","0","100","77","1","9/9/2024 8:34","","","","","anonymous","EN","1",2,"7","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/9/2024 8:33","9/9/2024 8:34","0","100","50","1","9/9/2024 8:34","","","","","anonymous","EN","1",3,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/9/2024 8:33","9/9/2024 8:34","0","100","70","1","9/9/2024 8:34","","","","","anonymous","EN","1",4,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/9/2024 8:32","9/9/2024 8:34","0","100","151","1","9/9/2024 8:34","","","","","anonymous","EN","1",5,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","5","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","4","4","3","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","5","2","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","6","6","5","6","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FL_20|FL_18|FL_19|FL_4","relevantvienna","messageblockbuster","relevantmerrick","relevantbike","","Q129|relevant|u.2_s|i.2_s|x.2_s|p.2_s|a.2_s|v.2_s","","Q258|Q259|x.1_m|u.1_m|p.1_m|i.1_m|v.1_m|a.1_m","","","","Q220|Q221|v.2_f|u.2_f|a.2_f|x.2_f|p.2_f|i.2_f","","","Q290|Q291|i.2_b|p.2_b|u.2_b|x.2_b|a.2_b|v.2_b",""
"9/9/2024 8:34","9/9/2024 8:35","0","100","21","1","9/9/2024 8:35","","","","","anonymous","EN","1",6,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/9/2024 8:31","9/9/2024 8:35","0","100","228","1","9/9/2024 8:35","","","","","anonymous","EN","1",7,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","1","3","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","4","6","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","1","5","1","3","","","","","","","","","","","","","FL_20|FL_18|FL_4|FL_19","irrelevantvienna","irrelevantblockbuster","irrelevantmerrick","irrelevantbike","","","Q242|Q243|x.3_s|v.3_s|i.3_s|a.3_s|u.3_s|p.3_s","","","Q266|Q267|i.3_m|p.3_m|u.3_m|a.3_m|v.3_m|x.3_m","","","Q250|Q251|a.3_f|v.3_f|i.3_f|p.3_f|x.3_f|u.3_f","","","Q298|Q299|i.3_b|x.3_b|u.3_b|a.3_b|p.3_b|v.3_b"
"9/9/2024 8:34","9/9/2024 8:35","0","100","58","1","9/9/2024 8:35","","","","","anonymous","EN","1",8,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/9/2024 8:33","9/9/2024 8:35","0","100","124","1","9/9/2024 8:35","","","","","anonymous","EN","1",9,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","3","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","5","5","5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","3","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","3","3","2","5","","","","","","","","","","","","","","","","","","","FL_18|FL_19|FL_20|FL_4","irrelevantvienna","messageblockbuster","messagemerrick","irrelevantbike","","","Q242|Q243|i.3_s|v.3_s|u.3_s|a.3_s|x.3_s|p.3_s","Q258|Q259|a.1_m|p.1_m|u.1_m|v.1_m|x.1_m|i.1_m","","","Q228|Q229|x.1_f|u.1_f|p.1_f|v.1_f|i.1_f|a.1_f","","","","","Q298|Q299|x.3_b|i.3_b|p.3_b|u.3_b|a.3_b|v.3_b"
"9/9/2024 8:33","9/9/2024 8:36","0","100","124","1","9/9/2024 8:36","","","","","anonymous","EN","1",10,"7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
