Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-09-16T14:36:53.446000Z,2024-09-16T14:39:09.226000Z,2024-09-26T05:20:01.356000Z,2024-09-16T15:41:10.367283Z,136,C180QPRS,541,"English, Cantonese",25,Female,Asian,Canada,Canada,Canada,Chinese,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:37:30.217000Z,2024-09-16T14:41:31.506000Z,2024-09-26T05:20:01.757000Z,2024-09-16T14:41:32.223783Z,242,C180QPRS,2087,English,40,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-09-16T14:37:39.698000Z,2024-09-16T14:40:07.511000Z,2024-09-26T05:20:02.119000Z,2024-09-16T14:40:08.320690Z,148,C180QPRS,153,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
APPROVED,Not Applicable,2024-09-16T14:37:44.729000Z,2024-09-16T14:40:33.822000Z,2024-09-26T05:20:02.492000Z,2024-09-16T14:40:35.234545Z,170,C180QPRS,636,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-09-16T14:38:04.679000Z,2024-09-16T14:41:00.374000Z,2024-09-26T05:20:02.893000Z,2024-09-16T14:41:01.088986Z,176,C180QPRS,625,English,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-09-16T14:37:51.947000Z,2024-09-16T14:44:01.776000Z,2024-09-26T05:20:03.334000Z,2024-09-16T14:44:02.444606Z,370,C180QPRS,264,"Italian, Spanish, English",23,Female,White,"Venezuela, Bolivarian Republic of",Italy,"Venezuela, Bolivarian Republic of",Spanish,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-16T14:38:07.868000Z,2024-09-16T14:42:31.191000Z,2024-09-26T05:20:03.723000Z,2024-09-16T14:42:33.225842Z,264,C180QPRS,287,English,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:38:09.807000Z,2024-09-16T14:40:50.850000Z,2024-09-26T05:20:04.122000Z,2024-09-16T14:40:51.434832Z,162,C180QPRS,1220,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:38:09.100000Z,2024-09-16T14:41:27.035000Z,2024-09-26T05:20:04.505000Z,2024-09-16T14:41:27.794639Z,198,C180QPRS,527,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:38:12.839000Z,2024-09-16T14:40:21.783000Z,2024-09-26T05:20:04.928000Z,2024-09-16T14:40:22.695295Z,129,C180QPRS,825,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:38:02.087000Z,2024-09-16T14:41:16.032000Z,2024-09-26T05:20:05.364000Z,2024-09-16T14:41:16.929762Z,194,C180QPRS,289,English,22,Female,White,Russian Federation,Netherlands,Russian Federation,Russian,Yes,Full-Time
APPROVED,Not Applicable,2024-09-16T14:38:13.193000Z,2024-09-16T14:43:14.140000Z,2024-09-26T05:20:05.843000Z,2024-09-16T14:43:16.075343Z,301,C180QPRS,533,"German, English",29,Female,White,Germany,Germany,Germany,German,Yes,Full-Time
APPROVED,Not Applicable,2024-09-16T14:38:14.153000Z,2024-09-16T14:38:51.066000Z,2024-09-26T05:20:06.293000Z,2024-09-16T14:38:51.953145Z,37,C180QPRS,1240,English,34,Female,Asian,Suriname,United States,United States,Dutch,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-16T14:38:12.353000Z,2024-09-16T14:41:36.434000Z,2024-09-26T05:20:06.732000Z,2024-09-16T14:41:36.950917Z,205,C180QPRS,416,"Polish, English",28,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
APPROVED,Not Applicable,2024-09-16T14:38:32.737000Z,2024-09-16T14:42:36.006000Z,2024-09-26T05:20:07.051000Z,2024-09-16T14:42:37.468176Z,244,C180QPRS,98,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:40:42.956000Z,2024-09-16T14:41:43.783000Z,2024-09-26T05:20:07.379000Z,2024-09-16T14:41:44.666854Z,61,C180QPRS,560,English,37,Female,Black,Nigeria,Canada,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-09-16T14:38:35.357000Z,2024-09-16T14:41:43.100000Z,2024-09-26T05:20:07.733000Z,2024-09-16T14:41:43.938592Z,188,C180QPRS,922,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2024-09-16T14:38:44.996000Z,2024-09-16T14:46:40.379000Z,2024-09-26T05:20:08.070000Z,2024-09-16T14:49:05.864468Z,476,C180QPRS,86,"English, Afrikaans, French, Swahili, Spanish",19,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
APPROVED,Not Applicable,2024-09-16T14:38:47.788000Z,2024-09-16T14:43:14.223000Z,2024-09-26T05:20:08.394000Z,2024-09-16T14:43:16.788350Z,267,C180QPRS,112,"Italian, English",19,Female,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-09-16T14:38:45.895000Z,2024-09-16T14:39:35.003000Z,2024-09-26T05:20:25.027000Z,2024-09-16T14:39:35.901560Z,50,C180QPRS,130,English,20,Male,White,United States,United States,United States,English,Yes,Full-Time
APPROVED,Not Applicable,2024-09-16T14:39:09.715000Z,2024-09-16T14:47:23.479000Z,2024-09-26T05:20:08.718000Z,2024-09-16T14:49:12.551685Z,494,C180QPRS,269,English,47,Female,White,Canada,Canada,Canada,English,No,Other
