"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","id","com.1","com.2","rel.int.vien","rel.share.vien","rel.surp.vien","rel.mem.vien","rel.eng.vien","irr.int.vien","irr.share.vien","irr.surp.vien","irr.mem.vien","irr.eng.vien","rel.int.bike","rel.share.bike","rel.surp.bike","rel.mem.bike","rel.eng.bike","irr.int.bike","irr.share.bike","irr.surp.bike","irr.mem.bike","irr.eng.bike","irr.int.food","irr.share.food","irr.surp.food","irr.mem.food","irr.eng.food","rel.int.food","rel.share.food","rel.surp.food","rel.mem.food","rel.eng.food","rel.int.film","rel.share.film","rel.surp.film","rel.mem.film","rel.eng.film","irr.int.film","irr.share.film","irr.surp.film","irr.mem.film","irr.eng.film","FL_524_DO","viennarelevant_DO","viennairrelevant_DO","bikerelevant_DO","bikeirrelevant_DO","merrickrelevant_DO","merrickirrelevant_DO","blockbusterrelevant_DO","blockbusterirrelevant_DO"
"10/3/2024 15:00","10/3/2024 15:01","0","100","66","1","10/3/2024 15:01","","","","","anonymous","EN","1",1,"5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/3/2024 15:00","10/3/2024 15:02","0","100","94","1","10/3/2024 15:02","","","","","anonymous","EN","1",2,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","5","blockbusterirrelevant","","","","","","","","Q844|irr.eng.film|irr.share.film|irr.int.film|irr.mem.film|irr.surp.film"
"10/3/2024 15:01","10/3/2024 15:02","0","100","76","1","10/3/2024 15:02","","","","","anonymous","EN","1",3,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","4","5","5","","","","","","blockbusterrelevant","","","","","","","Q838|rel.int.film|rel.surp.film|rel.mem.film|rel.eng.film|rel.share.film",""
"10/3/2024 15:00","10/3/2024 15:02","0","100","113","1","10/3/2024 15:02","","","","","anonymous","EN","1",4,"7","1","6","6","4","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennarelevant","Q808|rel.eng.vien|rel.int.vien|rel.surp.vien|rel.mem.vien|rel.share.vien","","","","","","",""
"10/3/2024 15:01","10/3/2024 15:02","0","100","87","1","10/3/2024 15:02","","","","","anonymous","EN","1",5,"7","1","","","","","","","","","","","","","","","","","","","","","4","5","5","6","3","","","","","","","","","","","","","","","","merrickrelevant","","","","","Q826|irr.int.food|irr.eng.food|irr.share.food|irr.surp.food|irr.mem.food","","",""
"10/3/2024 15:01","10/3/2024 15:02","0","100","101","1","10/3/2024 15:02","","","","","anonymous","EN","1",6,"7","1","7","3","2","4","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennarelevant","Q808|rel.int.vien|rel.mem.vien|rel.eng.vien|rel.share.vien|rel.surp.vien","","","","","","",""
"10/3/2024 15:00","10/3/2024 15:02","0","100","122","1","10/3/2024 15:02","","","","","anonymous","EN","1",7,"7","1","","","","","","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","viennairrelevant","","Q539|irr.surp.vien|irr.share.vien|irr.mem.vien|irr.eng.vien|irr.int.vien","","","","","",""
"10/3/2024 15:01","10/3/2024 15:03","0","100","122","1","10/3/2024 15:03","","","","","anonymous","EN","1",8,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","2","3","3","blockbusterirrelevant","","","","","","","","Q844|irr.int.film|irr.eng.film|irr.share.film|irr.surp.film|irr.mem.film"
"10/3/2024 15:00","10/3/2024 15:03","0","100","148","1","10/3/2024 15:03","","","","","anonymous","EN","1",9,"7","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/3/2024 15:01","10/3/2024 15:03","0","100","129","1","10/3/2024 15:03","","","","","anonymous","EN","1",10,"7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","2","3","4","blockbusterirrelevant","","","","","","","","Q844|irr.int.film|irr.mem.film|irr.eng.film|irr.share.film|irr.surp.film"
