Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-10-03T21:00:25.795000Z,2024-10-03T21:03:17.093000Z,2024-10-04T00:22:32.651000Z,2024-10-03T21:03:18.068024Z,172,C7MPIYMZ,215,"English, Other",24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-10-03T21:00:27.737000Z,2024-10-03T21:02:06.975000Z,2024-10-04T00:23:48.363000Z,2024-10-03T21:02:07.678995Z,100,C7MPIYMZ,848,"Polish, English",23,Female,White,United States,Poland,United Kingdom,Polish,Yes,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:00:35.554000Z,2024-10-03T21:03:41.342000Z,2024-10-04T00:30:03.170000Z,2024-10-03T21:03:42.096078Z,186,C7MPIYMZ,1861,English,50,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-03T21:00:40.217000Z,2024-10-03T21:02:41.641000Z,2024-10-04T00:50:20.321000Z,2024-10-03T22:02:50.033872Z,122,C7MPIYMZ,18,"Afrikaans, English",67,Female,Mixed,South Africa,South Africa,South Africa,Afrikaans,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-10-03T21:00:48.055000Z,2024-10-03T21:01:59.630000Z,2024-10-04T00:50:20.732000Z,2024-10-03T21:02:00.468223Z,72,C7MPIYMZ,1,English,26,Female,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:00:51.113000Z,2024-10-03T21:02:59.098000Z,2024-10-04T00:50:21.019000Z,2024-10-03T21:03:00.359626Z,128,C7MPIYMZ,599,English,39,Female,White,Italy,United Kingdom,United Kingdom,Italian,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:00:58.620000Z,2024-10-03T21:06:27.542000Z,2024-10-04T00:50:21.339000Z,2024-10-03T21:09:10.782155Z,329,C7MPIYMZ,107,"English, Afrikaans",26,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:01:02.468000Z,2024-10-03T21:03:09.842000Z,2024-10-04T00:50:21.647000Z,2024-10-03T21:03:10.593665Z,128,C7MPIYMZ,41,"English, Spanish",45,Female,White,United Kingdom,Spain,Spain,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:01:07.798000Z,2024-10-03T21:04:45.880000Z,2024-10-04T00:50:21.949000Z,2024-10-03T21:04:46.485490Z,219,C7MPIYMZ,98,English,44,Female,White,Macedonia,Germany,Macedonia,Macedonian,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:01:05.290000Z,2024-10-03T21:02:51.549000Z,2024-10-04T00:50:22.335000Z,2024-10-03T21:02:52.263075Z,107,C7MPIYMZ,234,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:01:02.075000Z,2024-10-03T21:03:18.696000Z,2024-10-04T00:30:03.658000Z,2024-10-03T21:03:19.512382Z,137,C7MPIYMZ,457,"English, Polish, Spanish",22,Male,White,Poland,Poland,Poland,Polish,Yes,Other
APPROVED,Not Applicable,2024-10-03T21:01:04.385000Z,2024-10-03T21:02:38.403000Z,2024-10-04T00:30:03.923000Z,2024-10-03T21:02:39.122602Z,95,C7MPIYMZ,726,English,41,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-03T21:01:17.073000Z,2024-10-03T21:04:08.259000Z,2024-10-04T00:50:22.642000Z,2024-10-03T21:04:08.751157Z,172,C7MPIYMZ,4,English,34,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
APPROVED,Not Applicable,2024-10-03T21:01:10.941000Z,2024-10-03T21:02:38.121000Z,2024-10-04T00:50:22.986000Z,2024-10-03T21:02:38.873906Z,88,C7MPIYMZ,56,English,20,Female,White,United States,United States,United States,English,Yes,Part-Time
APPROVED,Not Applicable,2024-10-03T21:01:15.832000Z,2024-10-03T21:03:34.159000Z,2024-10-04T00:50:23.349000Z,2024-10-03T21:03:35.458260Z,139,C7MPIYMZ,911,English,54,Female,White,South Africa,United Kingdom,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-10-03T21:01:17.222000Z,2024-10-03T21:05:05.283000Z,2024-10-04T00:50:23.629000Z,2024-10-03T21:05:06.319007Z,229,C7MPIYMZ,297,"English, Italian",36,Female,Mixed,Italy,United Kingdom,Italy,Italian,No,Part-Time
APPROVED,Not Applicable,2024-10-03T21:01:19.072000Z,2024-10-03T21:03:40.095000Z,2024-10-04T00:50:23.925000Z,2024-10-03T21:03:41.174684Z,142,C7MPIYMZ,1867,English,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2024-10-03T21:01:28.315000Z,2024-10-03T21:03:32.572000Z,2024-10-04T00:50:24.215000Z,2024-10-03T21:03:33.237568Z,125,C7MPIYMZ,297,"English, Mandarin",27,Female,Asian,Canada,Canada,Canada,Chinese,DATA_EXPIRED,DATA_EXPIRED
