"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","id","com.1","com.2","q1","v.3","p.3","i.3","u.3","a.3","x.3","v.4","p.4","i.4","u.4","a.4","x.4","q1.1","v.1","p.1","i.1","u.1","a.1","x.1","v.2","p.2","i.2","u.2","a.2","x.2","q2","FL_130_DO","bikecaseproblem_DO","bikecaseunresolved_DO","bikecaseresolved_DO","bikemessageproblem_DO","bikemessageunresolved_DO","bikemessageresolved_DO"
"10/11/2024 8:37","10/11/2024 8:39","0","100","76","1","10/11/2024 8:39","","","","","anonymous","EN","1",1,"7","1","","","","","","","","","","","","","","1","1","1","1","1","1","4","","","","","","","1","FL_430","","","","Q417|q1","Q463|x.1|v.1|p.1|a.1|i.1|u.1",""
"10/11/2024 8:38","10/11/2024 8:39","0","100","39","1","10/11/2024 8:39","","","","","anonymous","EN","1",2,"7","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:38","10/11/2024 8:39","0","100","58","1","10/11/2024 8:39","","","","","anonymous","EN","1",3,"6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:37","10/11/2024 8:39","0","100","125","1","10/11/2024 8:39","","","","","anonymous","EN","1",4,"7","1","","","","","","","","","","","","","","4","","","","","","","4","3","6","5","5","4","5","FL_431","","","","Q417|q1","","Q423|i.2|u.2|x.2|a.2|p.2|v.2"
"10/11/2024 8:36","10/11/2024 8:39","0","100","159","1","10/11/2024 8:39","","","","","anonymous","EN","1",5,"7","1","4","2","2","2","2","1","4","","","","","","","","","","","","","","","","","","","","1","FL_151","Q457|q1","Q351|i.3|u.3|v.3|p.3|x.3|a.3","","","",""
"10/11/2024 8:38","10/11/2024 8:39","0","100","57","1","10/11/2024 8:39","","","","","anonymous","EN","1",6,"7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:38","10/11/2024 8:39","0","100","93","1","10/11/2024 8:39","","","","","anonymous","EN","1",7,"7","1","","","","","","","","","","","","","","6","","","","","","","5","2","5","3","5","4","5","FL_431","","","","Q417|q1","","Q423|v.2|a.2|x.2|u.2|p.2|i.2"
"10/11/2024 8:37","10/11/2024 8:40","0","100","139","1","10/11/2024 8:40","","","","","anonymous","EN","1",8,"7","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:37","10/11/2024 8:40","0","100","173","1","10/11/2024 8:40","","","","","anonymous","EN","1",9,"7","1","4","","","","","","","4","5","3","5","5","4","","","","","","","","","","","","","","5","FL_152","Q457|q1","","Q364|x.4|u.4|v.4|a.4|i.4|p.4","","",""
"10/11/2024 8:39","10/11/2024 8:40","0","100","49","1","10/11/2024 8:40","","","","","anonymous","EN","1",10,"6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:38","10/11/2024 8:40","0","100","127","1","10/11/2024 8:40","","","","","anonymous","EN","1",11,"7","1","","","","","","","","","","","","","","2","2","1","3","2","2","4","","","","","","","2","FL_430","","","","Q417|q1","Q463|v.1|u.1|a.1|x.1|i.1|p.1",""
"10/11/2024 8:38","10/11/2024 8:40","0","100","120","1","10/11/2024 8:40","","","","","anonymous","EN","1",12,"7","1","1","4","2","4","4","4","4","","","","","","","","","","","","","","","","","","","","3","FL_151","Q457|q1","Q351|u.3|v.3|i.3|p.3|x.3|a.3","","","",""
"10/11/2024 8:38","10/11/2024 8:40","0","100","105","1","10/11/2024 8:40","","","","","anonymous","EN","1",13,"7","1","2","","","","","","","3","3","3","3","3","4","","","","","","","","","","","","","","3","FL_152","Q457|q1","","Q364|p.4|x.4|a.4|i.4|v.4|u.4","","",""
"10/11/2024 8:39","10/11/2024 8:40","0","100","87","1","10/11/2024 8:40","","","","","anonymous","EN","1",14,"7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:37","10/11/2024 8:40","0","100","192","1","10/11/2024 8:40","","","","","anonymous","EN","1",15,"7","1","","","","","","","","","","","","","","6","5","3","4","5","5","4","","","","","","","3","FL_430","","","","Q417|q1","Q463|a.1|v.1|x.1|p.1|i.1|u.1",""
"10/11/2024 8:40","10/11/2024 8:41","0","100","64","1","10/11/2024 8:41","","","","","anonymous","EN","1",16,"7","1","","","","","","","","","","","","","","5","6","4","5","6","6","4","","","","","","","5","FL_430","","","","Q417|q1","Q463|a.1|u.1|v.1|x.1|p.1|i.1",""
"10/11/2024 8:40","10/11/2024 8:41","0","100","40","1","10/11/2024 8:41","","","","","anonymous","EN","1",17,"7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:40","10/11/2024 8:41","0","100","76","1","10/11/2024 8:41","","","","","anonymous","EN","1",18,"3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:39","10/11/2024 8:41","0","100","97","1","10/11/2024 8:41","","","","","anonymous","EN","1",19,"5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:40","10/11/2024 8:41","0","100","80","1","10/11/2024 8:41","","","","","anonymous","EN","1",20,"6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/11/2024 8:39","10/11/2024 8:41","0","100","101","1","10/11/2024 8:41","","","","","anonymous","EN","1",21,"7","1","5","2","3","3","2","3","4","","","","","","","","","","","","","","","","","","","","5","FL_151","Q457|q1","Q351|p.3|a.3|x.3|i.3|v.3|u.3","","","",""
"10/11/2024 8:39","10/11/2024 8:41","0","100","161","1","10/11/2024 8:41","","","","","anonymous","EN","1",22,"7","1","","","","","","","","","","","","","","3","","","","","","","4","5","5","4","4","4","5","FL_431","","","","Q417|q1","","Q423|x.2|v.2|p.2|u.2|a.2|i.2"
"10/11/2024 8:40","10/11/2024 8:41","0","100","101","1","10/11/2024 8:41","","","","","anonymous","EN","1",23,"7","1","5","","","","","","","4","4","4","4","4","4","","","","","","","","","","","","","","3","FL_152","Q457|q1","","Q364|x.4|i.4|a.4|v.4|u.4|p.4","","",""
"10/11/2024 8:40","10/11/2024 8:41","0","100","102","1","10/11/2024 8:41","","","","","anonymous","EN","1",24,"7","1","","","","","","","","","","","","","","3","3","2","5","3","5","4","","","","","","","2","FL_430","","","","Q417|q1","Q463|i.1|a.1|p.1|u.1|x.1|v.1",""
"10/11/2024 8:38","10/11/2024 8:41","0","100","183","1","10/11/2024 8:41","","","","","anonymous","EN","1",25,"7","1","","","","","","","","","","","","","","2","","","","","","","5","3","5","4","6","4","5","FL_431","","","","Q417|q1","","Q423|a.2|x.2|v.2|p.2|u.2|i.2"
