Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-10-11T14:37:55.088000Z,2024-10-11T14:44:00.716000Z,2024-10-26T15:26:20.035000Z,2024-10-11T14:45:00.340917Z,366,C12H3JNE,209,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
APPROVED,Not Applicable,2024-10-11T14:36:56.048000Z,2024-10-11T14:39:40.700000Z,2024-10-26T15:26:20.537000Z,2024-10-11T14:39:41.520120Z,165,C12H3JNE,114,"Polish, English",22,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
APPROVED,Not Applicable,2024-10-11T14:37:19.705000Z,2024-10-11T14:40:21.121000Z,2024-10-26T15:26:20.850000Z,2024-10-13T18:05:06.970137Z,182,C12H3JNE,50,English,23,Male,Black,Kenya,Kenya,Kenya,English,Yes,Part-Time
APPROVED,Not Applicable,2024-10-11T14:37:22.663000Z,2024-10-11T14:39:35.610000Z,2024-10-26T15:26:21.150000Z,2024-10-11T14:39:36.751941Z,133,C12H3JNE,134,"English, Spanish",25,Male,White,Spain,Spain,Spain,English,Yes,Full-Time
APPROVED,Not Applicable,2024-10-11T14:37:33.570000Z,2024-10-11T14:40:51.433000Z,2024-10-26T15:26:21.685000Z,2024-10-11T14:40:52.339877Z,198,C12H3JNE,51,English,19,Male,Asian,Ireland,Ireland,Ireland,English,Yes,Part-Time
APPROVED,Not Applicable,2024-10-11T14:37:36.979000Z,2024-10-11T14:40:12.182000Z,2024-10-26T15:26:22.700000Z,2024-10-11T14:40:12.899745Z,156,C12H3JNE,124,English,30,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
APPROVED,Not Applicable,2024-10-11T14:37:42.668000Z,2024-10-11T14:39:03.568000Z,2024-10-26T15:26:23.039000Z,2024-10-11T14:39:04.501551Z,81,C12H3JNE,530,"English, Vietnamese",26,Male,Asian,Canada,Canada,Canada,Vietnamese,No,Full-Time
APPROVED,Not Applicable,2024-10-11T14:38:18.745000Z,2024-10-11T14:39:59.033000Z,2024-10-26T15:26:23.282000Z,2024-10-11T14:40:00.228680Z,101,C12H3JNE,96,English,40,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-11T14:38:22.403000Z,2024-10-11T14:40:35.208000Z,2024-10-26T15:27:24.129000Z,2024-10-11T14:40:35.905257Z,133,C12H3JNE,1609,English,33,Female,White,Canada,Canada,Canada,English,No,Part-Time
APPROVED,Not Applicable,2024-10-11T14:38:26.417000Z,2024-10-11T14:39:59.085000Z,2024-10-26T15:27:25.160000Z,2024-10-11T14:39:59.834688Z,93,C12H3JNE,245,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-11T14:38:32.960000Z,2024-10-11T14:39:16.959000Z,2024-10-26T15:26:23.535000Z,2024-10-11T14:39:17.874898Z,44,C12H3JNE,2,"English, German",29,Male,Asian,Germany,Germany,Germany,English,No,Full-Time
APPROVED,Not Applicable,2024-10-11T14:38:44.060000Z,2024-10-11T14:39:55.614000Z,2024-10-26T15:26:23.788000Z,2024-10-11T14:39:56.505526Z,72,C12H3JNE,1,"English, German, Portuguese",29,Male,White,Germany,Brazil,Germany,German,No,Other
APPROVED,Not Applicable,2024-10-11T14:38:39.819000Z,2024-10-11T14:42:15.335000Z,2024-10-26T15:27:25.524000Z,2024-10-11T14:42:16.504654Z,216,C12H3JNE,305,"Polish, English",23,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
APPROVED,Not Applicable,2024-10-11T14:38:39.132000Z,2024-10-11T14:40:43.093000Z,2024-10-26T15:27:25.974000Z,2024-10-11T14:40:43.849768Z,124,C12H3JNE,1124,"English, Romanian",40,Female,White,Romania,United Kingdom,DATA_EXPIRED,Romanian,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-10-11T14:38:47.816000Z,2024-10-11T14:42:21.989000Z,2024-10-26T15:27:26.321000Z,2024-10-11T14:42:22.571860Z,215,C12H3JNE,371,English,32,Female,Black,Malawi,South Africa,Malawi,English,No,Part-Time
