Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2025-12-22T15:10:25.574000Z,2025-12-22T15:11:56.958000Z,2025-12-23T21:36:39.744000Z,2025-12-22T15:11:57.378344Z,92,C8TRMCWU,152,27,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
APPROVED,Not Applicable,2025-12-22T15:10:26.630000Z,2025-12-22T15:11:41.041000Z,2025-12-23T21:36:40.002000Z,2025-12-22T15:11:41.423945Z,75,C8TRMCWU,527,23,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:10:32.975000Z,2025-12-22T15:13:25.238000Z,2025-12-23T21:36:40.252000Z,2025-12-22T15:13:25.645434Z,173,C8TRMCWU,876,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
APPROVED,Not Applicable,2025-12-22T15:10:32.397000Z,2025-12-22T15:12:38.880000Z,2025-12-23T21:36:40.601000Z,2025-12-22T15:12:39.347057Z,127,C8TRMCWU,1631,58,Male,White,France,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:16:42.406000Z,2025-12-22T15:18:46.870000Z,2025-12-23T21:36:40.875000Z,2025-12-22T15:18:47.287187Z,125,C8TRMCWU,933,43,Male,White,Canada,Canada,Canada,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:10:33.284000Z,2025-12-22T15:12:20.588000Z,2025-12-23T21:36:41.135000Z,2025-12-22T15:12:20.997136Z,108,C8TRMCWU,2641,36,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:10:35.972000Z,2025-12-22T15:12:24.655000Z,2025-12-23T21:37:22.993000Z,2025-12-22T15:12:25.064375Z,109,C8TRMCWU,73,31,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:10:37.905000Z,2025-12-22T15:12:12.300000Z,2025-12-23T21:36:41.461000Z,2025-12-22T15:12:12.725640Z,95,C8TRMCWU,36,63,Male,White,Turkey,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:10:35.445000Z,2025-12-22T15:12:07.144000Z,2025-12-23T21:37:23.232000Z,2025-12-22T15:12:07.525259Z,92,C8TRMCWU,5897,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:10:39.794000Z,2025-12-22T15:13:13.020000Z,2025-12-23T21:37:23.485000Z,2025-12-22T15:13:13.426591Z,154,C8TRMCWU,597,26,Female,Black,South Africa,South Africa,South Africa,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,Not Applicable,2025-12-22T15:10:37.779000Z,2025-12-22T15:12:44.974000Z,2025-12-23T21:36:41.729000Z,2025-12-22T15:12:45.384128Z,128,C8TRMCWU,4376,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:10:39.398000Z,2025-12-22T15:11:51.044000Z,2025-12-23T21:36:41.975000Z,2025-12-22T15:11:51.596702Z,72,C8TRMCWU,16946,40,Male,White,United States,United States,United States,English,No,Full-Time
APPROVED,Not Applicable,2025-12-22T15:10:40.995000Z,2025-12-22T15:12:37.037000Z,2025-12-23T21:36:42.234000Z,2025-12-22T15:12:37.465464Z,117,C8TRMCWU,2675,41,Male,Asian,Korea,United States,United States,English,No,Full-Time
