StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,pid,id,com.1,com.2,v.vg,p.vg,i.vg,u.vg,a.vg,d.vg,s.vg,g.vg,x.vg,v.vp,p.vp,i.vp,u.vp,a.vp,d.vp,s.vp,g.vp,x.vp,v.vm,p.vm,i.vm,u.vm,a.vm,d.vm,s.vm,g.vm,x.vm,FL_441_DO,Velcrogeneral_DO,Velcroparticular_DO,Velcromessage_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participate in this research?,,Please enter your unique prolific ID below,How much insight did that lesson give you?,How much insight did that lesson give you?,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,How much does this lesson deepen your knowledge?,How much does this lesson help you to solve problems?,How generalizable is this lesson to other contexts?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,How much does this lesson deepen your knowledge?,How much does this lesson help you to solve problems?,How generalizable is this lesson to other contexts?,Please select the middle option.,How valuable is this lesson to you?,How much does this lesson change your perspective?,How much insight does this lesson give you?,How useful is this lesson to you?,How much can you use this lesson in the future?,How much does this lesson deepen your knowledge?,How much does this lesson help you to solve problems?,How generalizable is this lesson to other contexts?,Please select the middle option.,FL_441 - Block Randomizer - Display Order,Velcro general - Display Order,Velcro particular - Display Order,Velcro message - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1717457504""}",,"{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID319""}","{""ImportId"":""QID323""}","{""ImportId"":""QID352""}","{""ImportId"":""QID353""}","{""ImportId"":""QID354""}","{""ImportId"":""QID355""}","{""ImportId"":""QID356""}","{""ImportId"":""QID535""}","{""ImportId"":""QID536""}","{""ImportId"":""QID537""}","{""ImportId"":""QID529""}","{""ImportId"":""QID539""}","{""ImportId"":""QID540""}","{""ImportId"":""QID541""}","{""ImportId"":""QID542""}","{""ImportId"":""QID543""}","{""ImportId"":""QID544""}","{""ImportId"":""QID545""}","{""ImportId"":""QID546""}","{""ImportId"":""QID547""}","{""ImportId"":""QID597""}","{""ImportId"":""QID598""}","{""ImportId"":""QID599""}","{""ImportId"":""QID600""}","{""ImportId"":""QID601""}","{""ImportId"":""QID602""}","{""ImportId"":""QID603""}","{""ImportId"":""QID604""}","{""ImportId"":""QID605""}","{""ImportId"":""FL_441_DO""}","{""ImportId"":""BL_3F9l1KxrhIyJkcS_DO""}","{""ImportId"":""BL_ehwYLAzmHIgaCxg_DO""}","{""ImportId"":""BL_etXwfcDM9AkTQ6a_DO""}"
12/22/2025 7:17,12/22/2025 7:17,0,35.149.194.138,100,28,1,12/22/2025 7:17,R_5tnUIeb64WTENcE,,,,,41.3326,-73.2073,anonymous,EN,1,5ff2340d15b59b69aa31acaa,a,7,1,,,,,,,,,,3,3,4,3,4,3,2,4,3,,,,,,,,,,Velcroparticular,,Q538|p.vp|u.vp|a.vp|i.vp|g.vp|x.vp|v.vp|d.vp|s.vp,
12/22/2025 8:10,12/22/2025 8:11,0,217.96.146.99,100,70,1,12/22/2025 8:11,R_8ePORjQ6a5Rvi4p,,,,,51.7513,19.4231,anonymous,EN,1,6153d67b1d37bfcf02c3cf11,6153d67b1d37bfcf02c3cf11@auth.prolific.com,7,1,,,,,,,,,,,,,,,,,,,6,5,3,5,5,3,2,5,4,Velcromessage,,,Q596|d.vm|a.vm|x.vm|u.vm|p.vm|v.vm|s.vm|i.vm|g.vm
12/22/2025 8:10,12/22/2025 8:11,0,71.85.246.192,100,66,1,12/22/2025 8:11,R_7PsVmrvkGkqyBa1,,,,,38.2309,-90.3857,anonymous,EN,1,60f1fab1ed6d20a28555979f,628f83dc5398c04bac86f9e6,7,1,,,,,,,,,,,,,,,,,,,4,4,3,4,2,2,3,5,4,Velcromessage,,,Q596|v.vm|g.vm|s.vm|p.vm|a.vm|d.vm|u.vm|x.vm|i.vm
12/22/2025 8:10,12/22/2025 8:11,0,99.231.16.31,100,85,1,12/22/2025 8:11,R_3s493PfuyjuLch7,,,,,43.709,-79.4057,anonymous,EN,1,66293c1bd373230a9cd36d5a,5ff2340d15b59b69aa31acaa,7,1,2,2,2,2,3,2,2,2,4,,,,,,,,,,,,,,,,,,,Velcrogeneral,Q457|a.vg|g.vg|d.vg|u.vg|p.vg|i.vg|s.vg|v.vg|x.vg,,
12/22/2025 8:10,12/22/2025 8:12,0,31.94.68.221,100,84,1,12/22/2025 8:12,R_816dbS1lzrsAMUS,,,,,55.8486,-4.2216,anonymous,EN,1,5d01a8cb892f670015312e1a,5c4f7b99b33a5300013dbfdd,7,1,,,,,,,,,,3,2,3,2,1,4,2,1,4,,,,,,,,,,Velcroparticular,,Q538|p.vp|a.vp|g.vp|s.vp|d.vp|i.vp|u.vp|x.vp|v.vp,
12/22/2025 8:11,12/22/2025 8:12,0,67.80.94.223,100,39,1,12/22/2025 8:12,R_142d9ae6LgSHFh7,,,,,40.8444,-74.5791,anonymous,EN,1,62a71f84d2f2f15e6cefae40,5f7a28b8bedcf2112ebd1289,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2025 8:10,12/22/2025 8:12,0,92.22.233.177,100,81,1,12/22/2025 8:12,R_8YlwgGoMUbYQuTW,,,,,54.9536,-1.5743,anonymous,EN,1,692d64a48c361f17b331521d,63cedf5f87024f8b1ad1023f,7,1,,,,,,,,,,1,1,1,1,1,1,1,1,4,,,,,,,,,,Velcroparticular,,Q538|u.vp|a.vp|x.vp|p.vp|g.vp|d.vp|i.vp|v.vp|s.vp,
12/22/2025 8:11,12/22/2025 8:12,0,82.0.153.189,100,55,1,12/22/2025 8:12,R_2tDo4owBtXxZ1em,,,,,50.368,-4.1329,anonymous,EN,1,6941735b3d4f8229158290ea,5e230311699ac45b327786dc,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
